,administrator,analyst,architect,developer,director,engineer,leadership,manager,specialist
competitive,0.03988592996850391,0.04149903990225383,0.055079663861710516,0.0,0.03900566439743451,0.003865706127101409,0.030357509004236862,0.03746641701037217,0.022948201360354588
passion,0.03988592996850391,0.006916506650375638,0.02469088380007713,0.04023940319905465,0.03900566439743451,0.003436183224090141,0.025297924170197387,0.041874230776298316,0.0
oriented,0.03988592996850391,0.006916506650375638,0.030388780061633387,0.0,0.032504720331195426,0.003436183224090141,0.026984452448210544,0.0286507894785199,0.022948201360354588
includes,0.03988592996850391,0.027666026601502552,0.039885273830893825,0.017245458513880565,0.029254248298075883,0.003436183224090141,0.02192486761417107,0.03746641701037217,0.0
purpose,0.03988592996850391,0.027666026601502552,0.03418737756933756,0.0,0.026003776264956337,0.009019980963236621,0.04384973522834214,0.008815627531852277,0.01529880090690306
cruise,0.03981226034715874,0.0,0.0032926891701942768,0.0,0.0,0.0,0.0,0.07641536446997813,0.0
amazon,0.03867726542400379,0.013833013300751276,0.0018992987538520867,0.011496972342587043,0.0,0.005583797739146479,0.02192486761417107,0.024242975712593758,0.00764940045345153
management platform,0.038570119773582455,0.008489041483959578,0.004662245473589601,0.028221840906017707,0.01196849507696358,0.0,0.0,0.005409972953685065,0.0
reporting,0.03746860087950367,0.0,0.08926704143104808,0.005748486171293522,0.019502832198717256,0.019328530635507043,0.09613211184675007,0.07272892713778129,0.00764940045345153
approach,0.03746860087950367,0.013833013300751276,0.02469088380007713,0.011496972342587043,0.035755192364314965,0.006013320642157746,0.04216320695032897,0.030854696361482966,0.0
domain,0.03746860087950367,0.0,0.04558317009245008,0.011496972342587043,0.009751416099358628,0.001288568709033803,0.023611395892184226,0.022039068829630692,0.00764940045345153
family,0.03746860087950367,0.020749519951126914,0.032288078815485476,0.022993944685174086,0.019502832198717256,0.002577137418067606,0.037103622116289495,0.05289376519111366,0.0
automated,0.03746860087950367,0.013833013300751276,0.01899298753852087,0.011496972342587043,0.022753304231836795,0.003436183224090141,0.013492226224105272,0.0022039068829630692,0.0
ability,0.03744874746857928,0.0,0.029423531832734728,0.0063610231147546775,0.025177810269167135,0.057510239911480035,0.02426109857898399,0.024387468644010743,0.0
consumer,0.03744874746857928,0.0,0.03783025521351607,0.0063610231147546775,0.03956513042297692,0.0014258737168135547,0.02612733693121353,0.06096867161002686,0.0
located,0.03744874746857928,0.0,0.029423531832734728,0.01908306934426403,0.007193660076904895,0.0019011649557514063,0.01679614517006584,0.024387468644010743,0.0
cloud based,0.03708665362844467,0.0,0.013986736420768803,0.028221840906017707,0.0,0.0010543581973640895,0.01034988415369127,0.013524932384212662,0.0
apis,0.03634451334838267,0.0,0.0025959939620231816,0.023571387115142468,0.05331360801194332,0.0,0.0,0.006024675106461975,0.0
collaborative,0.03625993633500356,0.027666026601502552,0.03608667632318965,0.017245458513880565,0.032504720331195426,0.005154274836135212,0.0286709807262237,0.044078137659261385,0.0
www,0.03625993633500356,0.020749519951126914,0.01899298753852087,0.017245458513880565,0.032504720331195426,0.006442843545169015,0.0286709807262237,0.017631255063704554,0.0
collaboration,0.03625993633500356,0.020749519951126914,0.03418737756933756,0.011496972342587043,0.04225613643055405,0.009449503866247887,0.04553626350635529,0.06611720648889208,0.0
degree computer,0.03625993633500356,0.006916506650375638,0.01899298753852087,0.017245458513880565,0.03900566439743451,0.0,0.018551811058144747,0.019835161946667623,0.00764940045345153
covid,0.03625993633500356,0.0,0.04558317009245008,0.04598788937034817,0.04875708049679314,0.007731412254202818,0.04384973522834214,0.05950548584000286,0.01529880090690306
methodology,0.03625993633500356,0.0,0.03418737756933756,0.017245458513880565,0.061758968629271306,0.0021476145150563382,0.04384973522834214,0.03526251012740911,0.01529880090690306
data engineer,0.036149252862256356,0.0,0.0,0.0,0.0,0.0,0.0,0.008788717824657637,0.0
oidc,0.036111292201844294,0.007653503438191956,0.002101680845195337,0.01908306934426403,0.0035968300384524475,0.0,0.0018662383522295377,0.007316240593203223,0.0
system engineer,0.0356214961000894,0.0,0.0,0.009965771905468122,0.011270258604408688,0.0,0.0,0.0,0.0
xml,0.0356214961000894,0.0,0.0,0.019931543810936245,0.06198642232424778,0.0,0.0,0.0,0.0
delivering,0.035051271790503435,0.006916506650375638,0.020892286292372955,0.022993944685174086,0.019502832198717256,0.006872366448180282,0.04384973522834214,0.044078137659261385,0.0
long,0.035051271790503435,0.027666026601502552,0.03418737756933756,0.0,0.032504720331195426,0.0021476145150563382,0.018551811058144747,0.03746641701037217,0.022948201360354588
password,0.035051271790503435,0.0,0.0018992987538520867,0.011496972342587043,0.006500944066239084,0.0021476145150563382,0.015178754502118431,0.006611720648889208,0.01529880090690306
define,0.035051271790503435,0.0,0.03798597507704174,0.03449091702776113,0.026003776264956337,0.008590458060225353,0.040476678672315816,0.07713674090370742,0.022948201360354588
around,0.035051271790503435,0.013833013300751276,0.026590182553929212,0.005748486171293522,0.04225613643055405,0.009449503866247887,0.03879015039430266,0.046282044542224454,0.0
case,0.035051271790503435,0.0,0.05128106635400634,0.06323334788422874,0.022753304231836795,0.0008590458060225353,0.015178754502118431,0.022039068829630692,0.00764940045345153
would,0.034773836935109326,0.030614013752767823,0.023118489297148714,0.0,0.032371470346072025,0.0052282036283163675,0.029859813635672604,0.03170370923721397,0.0
mountain,0.03469249001436528,0.009453599369900208,0.05191987924046363,0.0,0.0,0.0005870792367480047,0.0023051756431808203,0.0,0.0
shared,0.034119721338169096,0.0,0.030304595578332406,0.0,0.00797899671797572,0.0036902536907743137,0.016559814645906033,0.02434487829158279,0.0
rest,0.03384260724600331,0.006916506650375638,0.00569789626155626,0.02874243085646761,0.026003776264956337,0.0008590458060225353,0.010119169668078954,0.006611720648889208,0.0
long term,0.03384260724600331,0.027666026601502552,0.030388780061633387,0.0,0.032504720331195426,0.0021476145150563382,0.015178754502118431,0.030854696361482966,0.022948201360354588
contribute,0.03384260724600331,0.020749519951126914,0.02469088380007713,0.005748486171293522,0.016252360165597713,0.002577137418067606,0.01686528278013159,0.0286507894785199,0.0
written skill,0.03384260724600331,0.013833013300751276,0.039885273830893825,0.022993944685174086,0.019502832198717256,0.0,0.02192486761417107,0.02644688259555683,0.01529880090690306
proficiency,0.03384260724600331,0.0,0.028489481307781304,0.017245458513880565,0.035755192364314965,0.00042952290301126765,0.001686528278013159,0.011019534414815346,0.03059760181380612
metric,0.03384260724600331,0.006916506650375638,0.04558317009245008,0.0,0.009751416099358628,0.001288568709033803,0.07420724423257899,0.07052502025481822,0.01529880090690306
forgerock,0.03384260724600331,0.006916506650375638,0.0,0.005748486171293522,0.029254248298075883,0.0008590458060225353,0.015178754502118431,0.011019534414815346,0.01529880090690306
deploying,0.03384260724600331,0.020749519951126914,0.0018992987538520867,0.03449091702776113,0.009751416099358628,0.00042952290301126765,0.006746113112052636,0.008815627531852277,0.0
entitlement,0.03343638166837435,0.0,0.021016808451953375,0.0063610231147546775,0.0035968300384524475,0.0014258737168135547,0.011197430113377227,0.009754987457604298,0.0
kubernetes,0.03332491514030119,0.0,0.0,0.01761060398945244,0.009957887006828765,0.0,0.0,0.006751713440541796,0.0
identityiq,0.032633942701503195,0.0,0.007597195015408347,0.011496972342587043,0.019502832198717256,0.00042952290301126765,0.001686528278013159,0.0022039068829630692,0.00764940045345153
inclusion,0.032633942701503195,0.027666026601502552,0.028489481307781304,0.022993944685174086,0.029254248298075883,0.010308549672270424,0.04722279178436845,0.03746641701037217,0.0
discipline,0.032633942701503195,0.013833013300751276,0.030388780061633387,0.022993944685174086,0.019502832198717256,0.003006660321078873,0.018551811058144747,0.041874230776298316,0.0
law,0.032633942701503195,0.0,0.01709368878466878,0.017245458513880565,0.013001888132478169,0.015033301605394367,0.03373056556026318,0.048485951425187516,0.045896402720709176
enable,0.032633942701503195,0.0,0.026590182553929212,0.03449091702776113,0.016252360165597713,0.008590458060225353,0.05228237661840793,0.06832111337185513,0.00764940045345153
19,0.032633942701503195,0.0,0.032288078815485476,0.04598788937034817,0.04225613643055405,0.006872366448180282,0.040476678672315816,0.05289376519111366,0.01529880090690306
day,0.032633942701503195,0.04149903990225383,0.06077756012326677,0.04023940319905465,0.03900566439743451,0.015462824508405635,0.06240154628648688,0.05289376519111366,0.0
covid 19,0.032633942701503195,0.0,0.032288078815485476,0.04598788937034817,0.03900566439743451,0.006442843545169015,0.03879015039430266,0.05289376519111366,0.01529880090690306
objective,0.032098926401639374,0.0,0.05464370197507877,0.0063610231147546775,0.035968300384524476,0.0019011649557514063,0.08584696420255875,0.05365243101682364,0.0
strong knowledge,0.032098926401639374,0.0,0.0,0.012722046229509355,0.007193660076904895,0.0004752912389378516,0.007464953408918151,0.004877493728802149,0.008464491632841674
common,0.032098926401639374,0.0,0.023118489297148714,0.0063610231147546775,0.007193660076904895,0.0028517474336271094,0.022394860226754455,0.009754987457604298,0.0
exchange,0.03142527815700308,0.006916506650375638,0.01139579252311252,0.0,0.009751416099358628,0.00042952290301126765,0.015178754502118431,0.0022039068829630692,0.00764940045345153
quickly,0.03142527815700308,0.006916506650375638,0.01709368878466878,0.017245458513880565,0.013001888132478169,0.005583797739146479,0.025297924170197387,0.008815627531852277,0.0
authentication authorization,0.03142527815700308,0.006916506650375638,0.00569789626155626,0.04598788937034817,0.026003776264956337,0.0017180916120450706,0.015178754502118431,0.019835161946667623,0.0
annual,0.03142527815700308,0.006916506650375638,0.02279158504622504,0.017245458513880565,0.0,0.006442843545169015,0.03204403728225002,0.03526251012740911,0.03059760181380612
subject matter,0.03142527815700308,0.0,0.028489481307781304,0.02874243085646761,0.003250472033119542,0.003865706127101409,0.020238339336157908,0.022039068829630692,0.01529880090690306
javascript,0.03142527815700308,0.006916506650375638,0.01139579252311252,0.017245458513880565,0.07151038472862993,0.00042952290301126765,0.005059584834039477,0.0022039068829630692,0.0
upon,0.03142527815700308,0.06916506650375638,0.039885273830893825,0.0,0.07151038472862993,0.003436183224090141,0.02192486761417107,0.05950548584000286,0.045896402720709176
believe,0.03142527815700308,0.013833013300751276,0.030388780061633387,0.011496972342587043,0.022753304231836795,0.006872366448180282,0.03373056556026318,0.039670323893335246,0.0
unix,0.031388443346330494,0.0,0.005191987924046363,0.007857129038380822,0.035542405341295547,0.0,0.0023051756431808203,0.0,0.0
alterra,0.03132935248062217,0.0,0.04923102973128757,0.0,0.0,0.0,0.0,0.0,0.0
nike,0.03132935248062217,0.0,0.0,0.17192816743641398,0.0,0.0,0.0,0.0,0.0
openid,0.03115278904789352,0.008489041483959578,0.0069933682103844015,0.04938822158553099,0.01196849507696358,0.0,0.0,0.013524932384212662,0.0
feature,0.030761471134904402,0.0,0.0504403402846881,0.01908306934426403,0.035968300384524476,0.0019011649557514063,0.03359229034013168,0.03901994983041719,0.0
programming language,0.030761471134904402,0.007653503438191956,0.004203361690390674,0.0063610231147546775,0.032371470346072025,0.0,0.0037324767044590755,0.0024387468644010745,0.0
pattern,0.030761471134904402,0.0,0.008406723380781349,0.03816613868852806,0.007193660076904895,0.0004752912389378516,0.007464953408918151,0.0024387468644010745,0.0
factor authentication,0.030761471134904402,0.0,0.010508404225976688,0.0063610231147546775,0.021580980230714683,0.0004752912389378516,0.005598715056688614,0.014632481186406447,0.0
vaccination,0.03021661361250296,0.0,0.01139579252311252,0.011496972342587043,0.019502832198717256,0.006872366448180282,0.03373056556026318,0.041874230776298316,0.01529880090690306
big,0.03021661361250296,0.006916506650375638,0.015194390030816693,0.04023940319905465,0.009751416099358628,0.006442843545169015,0.03204403728225002,0.011019534414815346,0.0
user access,0.03021661361250296,0.04841554655262946,0.02279158504622504,0.005748486171293522,0.016252360165597713,0.0008590458060225353,0.010119169668078954,0.013223441297778415,0.0
clearance,0.03021661361250296,0.027666026601502552,0.020892286292372955,0.0,0.04225613643055405,0.001288568709033803,0.005059584834039477,0.02644688259555683,0.0535458031741607
growth,0.03021661361250296,0.04841554655262946,0.02469088380007713,0.022993944685174086,0.026003776264956337,0.009019980963236621,0.05228237661840793,0.044078137659261385,0.0
core,0.03021661361250296,0.020749519951126914,0.026590182553929212,0.017245458513880565,0.032504720331195426,0.008160935157214085,0.050595848340394774,0.041874230776298316,0.0
cd,0.029736420012313098,0.0,0.0,0.0,0.008885601335323887,0.0005870792367480047,0.0023051756431808203,0.0030123375532309874,0.0
ci cd,0.029736420012313098,0.0,0.0,0.0,0.008885601335323887,0.0005870792367480047,0.0023051756431808203,0.0030123375532309874,0.0
distributed,0.029669322902755736,0.0,0.013986736420768803,0.0,0.0199474917949393,0.0010543581973640895,0.008279907322953016,0.02163989181474026,0.0
balance,0.029669322902755736,0.0,0.011655613683974003,0.0,0.0199474917949393,0.004217432789456358,0.03104965246107381,0.029754851245267857,0.0
directory azure,0.029669322902755736,0.016978082967919157,0.011655613683974003,0.02116638067951328,0.0,0.0015815372960461343,0.01034988415369127,0.0,0.0
remote,0.02942401586816943,0.015307006876383911,0.0063050425355860125,0.01908306934426403,0.0,0.008079951061943477,0.013063668465606765,0.024387468644010743,0.0
typically,0.02942401586816943,0.015307006876383911,0.035728574368320734,0.0,0.0035968300384524475,0.0019011649557514063,0.014929906817836302,0.014632481186406447,0.0
overall,0.02942401586816943,0.0,0.021016808451953375,0.02544409245901871,0.021580980230714683,0.011882280973446289,0.0541209122146566,0.05121368415242256,0.0
safety,0.02942401586816943,0.0,0.03993193605871141,0.0,0.035968300384524476,0.0028517474336271094,0.029859813635672604,0.019509974915208596,0.025393474898525024
ci,0.02942401586816943,0.007653503438191956,0.004203361690390674,0.0,0.010790490115357342,0.0004752912389378516,0.0037324767044590755,0.0024387468644010745,0.0
design development,0.02942401586816943,0.007653503438191956,0.016813446761562698,0.0,0.035968300384524476,0.0004752912389378516,0.0018662383522295377,0.017071228050807522,0.0
java python,0.029335349729485382,0.0,0.0,0.009965771905468122,0.011270258604408688,0.0,0.0,0.0,0.0
pregnancy,0.029007949068002845,0.04149903990225383,0.039885273830893825,0.0,0.06825991269551039,0.003865706127101409,0.023611395892184226,0.030854696361482966,0.022948201360354588
knowledge skill,0.029007949068002845,0.013833013300751276,0.02279158504622504,0.017245458513880565,0.013001888132478169,0.0,0.006746113112052636,0.017631255063704554,0.00764940045345153
connect,0.029007949068002845,0.020749519951126914,0.007597195015408347,0.04023940319905465,0.029254248298075883,0.0021476145150563382,0.015178754502118431,0.019835161946667623,0.0
preferably,0.029007949068002845,0.0,0.015194390030816693,0.005748486171293522,0.003250472033119542,0.00042952290301126765,0.003373056556026318,0.011019534414815346,0.01529880090690306
design implementation,0.029007949068002845,0.013833013300751276,0.007597195015408347,0.022993944685174086,0.009751416099358628,0.00042952290301126765,0.005059584834039477,0.019835161946667623,0.0
serve,0.029007949068002845,0.020749519951126914,0.04178457258474591,0.04023940319905465,0.016252360165597713,0.006442843545169015,0.03373056556026318,0.030854696361482966,0.0
integrating,0.028086560601434454,0.015307006876383911,0.008406723380781349,0.02544409245901871,0.025177810269167135,0.0,0.014929906817836302,0.009754987457604298,0.0
life cycle,0.028086560601434454,0.0,0.016813446761562698,0.02544409245901871,0.017984150192262238,0.0023764561946892577,0.01679614517006584,0.014632481186406447,0.0
multi factor,0.028086560601434454,0.0,0.012610085071172025,0.012722046229509355,0.021580980230714683,0.0004752912389378516,0.005598715056688614,0.012193734322005371,0.0
skill ability,0.028086560601434454,0.0,0.018915127606758037,0.0063610231147546775,0.007193660076904895,0.0019011649557514063,0.007464953408918151,0.007316240593203223,0.0
vehicle,0.028086560601434454,0.015307006876383911,0.002101680845195337,0.0,0.007193660076904895,0.0004752912389378516,0.0037324767044590755,0.007316240593203223,0.0
directory ldap,0.028084396678295705,0.0,0.010383975848092726,0.007857129038380822,0.01332840200298583,0.0,0.0,0.006024675106461975,0.0
information system,0.027799284523502724,0.013833013300751276,0.03608667632318965,0.04598788937034817,0.029254248298075883,0.0,0.025297924170197387,0.024242975712593758,0.022948201360354588
legally,0.027799284523502724,0.0,0.01899298753852087,0.005748486171293522,0.006500944066239084,0.0017180916120450706,0.013492226224105272,0.02644688259555683,0.00764940045345153
proven,0.027799284523502724,0.027666026601502552,0.013295091276964606,0.017245458513880565,0.035755192364314965,0.008160935157214085,0.05396890489642109,0.03746641701037217,0.0
idea,0.027799284523502724,0.0,0.032288078815485476,0.02874243085646761,0.029254248298075883,0.001288568709033803,0.037103622116289495,0.030854696361482966,0.00764940045345153
cycle,0.027799284523502724,0.0,0.020892286292372955,0.022993944685174086,0.019502832198717256,0.0021476145150563382,0.018551811058144747,0.015427348180741483,0.00764940045345153
sailpoint identityiq,0.027799284523502724,0.0,0.007597195015408347,0.011496972342587043,0.019502832198717256,0.00042952290301126765,0.001686528278013159,0.0022039068829630692,0.00764940045345153
master,0.027799284523502724,0.0,0.01709368878466878,0.005748486171293522,0.013001888132478169,0.003865706127101409,0.03204403728225002,0.011019534414815346,0.09179280544141835
deploy,0.027799284523502724,0.013833013300751276,0.007597195015408347,0.005748486171293522,0.016252360165597713,0.001288568709033803,0.008432641390065795,0.006611720648889208,0.0
provided,0.027799284523502724,0.013833013300751276,0.030388780061633387,0.005748486171293522,0.013001888132478169,0.003436183224090141,0.018551811058144747,0.015427348180741483,0.0
oauth oidc,0.02777076261691766,0.0,0.00290927012913238,0.026415905984178662,0.0,0.0,0.002583356794822004,0.0,0.0
identitynow,0.02777076261691766,0.0,0.00290927012913238,0.0,0.009957887006828765,0.0,0.0,0.0,0.01171704672572608
databricks,0.02777076261691766,0.0,0.00290927012913238,0.0,0.0,0.0006579260629611413,0.002583356794822004,0.0,0.0
denver,0.027239967605950714,0.0,0.03292689170194277,0.0,0.005635129302204344,0.0,0.0,0.0,0.0
kemper,0.027239967605950714,0.0,0.0,0.0,0.0,0.006701720134362676,0.02631440707513634,0.0,0.0
aad,0.027239967605950714,0.0,0.0,0.019931543810936245,0.0,0.0,0.0,0.003820768223498906,0.0
iga,0.02674910533469948,0.015307006876383911,0.023118489297148714,0.031805115573773385,0.0,0.008555242300881328,0.03359229034013168,0.014632481186406447,0.0
availability,0.02674910533469948,0.030614013752767823,0.012610085071172025,0.012722046229509355,0.0,0.0028517474336271094,0.011197430113377227,0.0024387468644010745,0.0
design develop,0.02674910533469948,0.015307006876383911,0.002101680845195337,0.0,0.010790490115357342,0.0009505824778757031,0.007464953408918151,0.007316240593203223,0.0
colleague,0.02674910533469948,0.0,0.035728574368320734,0.0063610231147546775,0.017984150192262238,0.0028517474336271094,0.0839807258503292,0.05121368415242256,0.0
establish,0.026590619979002604,0.020749519951126914,0.01139579252311252,0.022993944685174086,0.009751416099358628,0.006872366448180282,0.04216320695032897,0.03305860324444604,0.0
america,0.026590619979002604,0.0,0.02469088380007713,0.017245458513880565,0.013001888132478169,0.002577137418067606,0.013492226224105272,0.024242975712593758,0.00764940045345153
military,0.026590619979002604,0.013833013300751276,0.030388780061633387,0.0,0.026003776264956337,0.003006660321078873,0.011805697946092113,0.0286507894785199,0.022948201360354588
everyone,0.026590619979002604,0.013833013300751276,0.02469088380007713,0.011496972342587043,0.009751416099358628,0.006872366448180282,0.03373056556026318,0.0286507894785199,0.0
corporate,0.026590619979002604,0.0,0.04748246884630217,0.005748486171293522,0.035755192364314965,0.00730188935119155,0.03204403728225002,0.0286507894785199,0.022948201360354588
adoption,0.026590619979002604,0.013833013300751276,0.007597195015408347,0.03449091702776113,0.013001888132478169,0.006872366448180282,0.03373056556026318,0.017631255063704554,0.0
secret,0.026590619979002604,0.03458253325187819,0.015194390030816693,0.0,0.003250472033119542,0.00042952290301126765,0.003373056556026318,0.008815627531852277,0.01529880090690306
policy procedure,0.026590619979002604,0.020749519951126914,0.03418737756933756,0.017245458513880565,0.013001888132478169,0.0,0.023611395892184226,0.013223441297778415,0.00764940045345153
together,0.026590619979002604,0.013833013300751276,0.032288078815485476,0.022993944685174086,0.022753304231836795,0.009019980963236621,0.04722279178436845,0.044078137659261385,0.0
architect,0.026590619979002604,0.013833013300751276,0.009496493769260435,0.21844247450915383,0.019502832198717256,0.003006660321078873,0.040476678672315816,0.03746641701037217,0.0
reimbursement,0.026590619979002604,0.0,0.026590182553929212,0.017245458513880565,0.016252360165597713,0.0017180916120450706,0.008432641390065795,0.015427348180741483,0.00764940045345153
