,0
71,plans and prioritizes: sets priorities and organizes information in order to efficiently and effectively get the job done.
72,"job-specific competencies:
knowledge/skills/abilities


gives attention to detail and follows instruction."
73,excellent verbal and written communication skills.
74,effective time management; maximizes productivity.
75,prepares written materials to meet purpose and audience.
76,develops and maintains positive relationships with internal and external parties.
77,ability to interpret and apply company policies and procedures.
78,understands hris systems reporting capabilities and limitations.
79,analyzes and resolves system issues.
80,"education and experience:


bachelor's degree in information systems, computer science, human resources or a related field required."
81,a minimum of 3 years of progressive experience in hris systems required.
82,"or, a combination of education and experience providing equivalent knowledge."
83,"physical requirements:


work is performed in an office environment where a computer, telephone and other office equipment are used as needed to perform duties."
84,"regularly required to sit, reach, grasp, stand and move from one area to another."
85,constantly and repeatedly use keyboard/mouse.
86,"occasionally required to push, pull, bend, lift and move up to 25 lbs."
87,"travel:


no travel required."
88,"aldi offers competitive wages and benefits, including:

401(k) plan
company 401(k) matching contributions
employee assistance program (eap)
perkspot national employee discount program

in addition, eligible employees are offered:

medical, prescription, dental & vision insurance
generous vacation time & 7 paid holidays
up to 6 weeks paid parental leave at 100% of pay
up to 2 weeks paid caregiver leave at 100% of pay
short and long-term disability insurance
life, dependent life and ad&d insurance
voluntary term life insurance
click here to learn more about the benefits aldi has to offer


aldi is committed to equal opportunity for all employees and applicants."
89,"as a proud equal opportunity employer (eoe), we do not discriminate based on race, color, national origin, ancestry, citizenship status, religion, sex, sexual stereotyping, sexual orientation, gender, gender identity, gender expression, age, marital status, mental or physical disability, medical condition, genetic information, military or veteran status, pregnancy (which includes pregnancy, childbirth, and medical conditions related to pregnancy, childbirth, or breastfeeding), or any other protected characteristic."
90,"employment may be contingent upon aldi's receipt of an acceptable and job-related drug test, motor vehicle report, and/or reference check, as applicable and permissible by law."
91,"start your job application: click apply now

show less 
reportyear round

authenticity | passion | community | innovation | adventure

alterra mountain company is a family of 15 iconic year-round mountain destinations, the world‚äôs largest heli-skiing operation, and ikon pass - the premier ski and snowboard season pass offering access to more than 50 iconic mountain destinations around the world."
92,"headquartered in denver, colorado and born out of a shared love of the mountains and adventure, the company has brought together some of the world‚äôs most aspirational brands, including: steamboat and winter park in colorado; palisades tahoe, mammoth mountain, june mountain and big bear mountain resort in california; stratton mountain and sugarbush resort in vermont; snowshoe mountain in west virginia; tremblant in quebec and blue mountain in ontario, canada; crystal mountain in washington; deer valley resort and solitude mountain resort in utah; and cmh heli-skiing & summer adventures in british columbia."
93,"also included in the portfolio is alpine aerotech, a worldwide helicopter support and maintenance service center in british columbia, canada, and aspenware, the ski industry leader in technology services and e-commerce, and ski butlers, the global leader in ski and snowboard rental delivery."
94,"a career with alterra mountain company is more than what you do today; it‚äôs being part of creating a community rooted in the spirit of the mountains, united by a passion for adventure, and celebrating the legendary adventures and enduring memories that mountains bring to everyone."
95,"besides working somewhere awesome, what‚äôs in it for you?"
96,"free ikon base pass for all eligible employees, with additional free skiing + riding privileges across the family of alterra mountain company resorts for all eligible employees and their dependents
discounted skiing + riding for friends and family of eligible employees across the family of alterra mountain company resorts
flexible time off (fto) and paid time off (pto) policies for eligible employees to rest, relax and recharge
generous discounts on outdoor gear, apparel, rental cars, etc."
97,"medical, dental, vision, life, ad&d, short term & long-term disability insurance, eap, hsas, fsas, and more
401(k) plan with generous company match
discounted tuition with partner online university for all alterra mountain company employees to further their education
paid parental leave of up to 6 weeks for eligible employees
commuter benefits (denver employees only)
alterra mountain company office located in denver‚äôs rino art district neighborhood

to perform this job successfully, an individual must be able to perform each essential duty satisfactorily with or without reasonable accommodations."
98,"position summary

the systems analyst, identity and access will be a significant contributor on the enterprise directory services team that will conceptualize, design, and implement identity management systems for a diverse operational ecosystem."
99,"the ideal candidate is someone with recent technical experience in active directory technologies, azure ad, sso, and other components of ad domain and forest management."
100,"this role will be focused on supporting the iam engineer and iam architect, leading with best practice-based design principles and proscriptive technical guidance."
101,"the team is responsible for delivering strategic recommendations to many operations teams, working towards resolving technical debt, providing support for new strategic initiatives, and solutioning for the future."
102,this role is a great opportunity to learn more about the ski industry and work with a team to define the future of workforce identity at alterra.
103,"essential duties

general responsibilities:

responsible for timely delivery of projects as assigned by the sr. mgr of enterprise architecture

have a strong natural grasp for it fundamentals in networks, systems, and applications, especially as it relates to active directory/azure ad management, reporting, and discovery

leverage tooling and scripts to perform broad discovery and documentation of the current operational environments

serve on the cross functional project team that will be responsible for designing and implementing a single workforce identity for all current operational domains, applications, and operational disciplines

support the ongoing enterprise-wide domain management, partnering with operations teams in the iterative improvement of business supporting infrastructure, and assist the enterprise directory services team in defining, solutioning towards, and delivering the future operational environment

assist in the maintenance of microsoft on-prem and cloud iam environments, with azure active directory and hybrid identities

collaborate closely with it security and risk departments to ensure identity services are constructed and maintained in a manner consistent with access/identity management, data privacy, security, vulnerability, dr/bcp, and other risk management requirements

identify functional and operational requirements with other it teams, making service/solution recommendations within selected environments to ensure all requirements are met, this may include tooling selection for accomplishing strategic goals or meeting project requirements

work directly in azure and on-prem ad environments to deploy, manage, and transform legacy identity models to newer, modern standards

utilize a data-driven, objective approach to inform decision-making, and provide and maintain clearly written documentation for technical and/or nontechnical teams, including support documentation for the helpdesk and application development teams

travel required

yes
no

travel details (if required):

occasional travel to our mountain resort locations to support and establish working relationships for collaboration."
104,"competencies & job requirements

required:

strong understanding and recent experience in microsoft technologies including azure ad, ldap, domain and forest management, user, computer, and application/data migrations between environments

functional understanding and some on-hand experience of iam and related technologies, including ad, directory services, sso, ldap, pki, cloud virtual/meta directories, auth protocols (saml, openid, oauth), pam, and rbac

advanced and growing proficiency writing powershell scripts, and specific ability to manage azure ad, on-prem domains, including ou and gpo management and best practices

preferred:

some knowledge of enterprise technologies including, but not limited to, vmware (hypervisors), sdwan, palo alto firewalls, cisco core and distributed switching, vsan/hci with hpe and dell servers

some knowledge of sql and related database applications (authentication methods and support models)

functional level knowledge of office 365 services and user management

formal training and certification in itsm framework such as itil v3

education & experience

required:

bachelor‚äôs degree in computer science, engineering, or related field; or the equivalent in education and work experience

work experience

required:

2+ years of general experience in enterprise-class systems administration, with demonstrated growth in scale/scope of responsibility to include large-scale, hybrid environments

2+ years of specific experience in server and directory services technology administration

1+ years of recent experience in managing large scale cloud environments, with specific demonstrated expertise in azure

preferred:

1+ years of immediate experience in cloud-hosted iam and device management using ztna principles

licenses & certifications

required:

none required

preferred:

specific training or work towards certifications in microsoft or azure (ms, az)

other certifications in an infrastructure discipline/role (ms, az, md) or equivalent certifications/training (aws, citrix, vmware, etc)

the base salary range below represents the low and high end of the alterra mtn co shared services inc. salary range for this position."
105,"actual salaries will vary and may be above or below the range based on various factors including but not limited to experience, education, training, location, merit system, quantity or quality of production, responsibilities, and regular and/or necessary travel."
106,the range listed is just one component of alterra mtn co shared services inc.‚äôs total compensation package for employees.
107,other rewards may include short-term and long-term incentives and many region-specific benefits.
108,"denver area base salary range: $63,000 - $95,000 per year

physical requirements

the physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job."
109,reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
110,"while performing the duties of this job, the employee is regularly required to walk, talk, see, hear, and operate a computer and other office productivity machinery."
111,"working conditions

indoor/outdoor: while performing the duties of this job, the employee may be exposed to harsh and varying outside weather conditions."
112,hazardous materials/noise: the noise level in the work place is usually moderate.
113,this job description is not an exhaustive list of all functions and responsibilities that an employee may be required to perform in this position.
114,"alterra mtn co shared services inc. and its affiliates reserve the right to modify, increase, decrease, suspend, and or eliminate any of the essential duties and/or the position in its entirety."
115,"this job description is not an express or implied contract, guarantee, promise, or covenant of employment for any set term or duration, or for termination only for cause."
116,employment with alterra mtn co shared services inc. or any of its affiliates is ‚äúat will‚äù meaning either party may terminate the employment relationship at any time with or without cause and with or without notice.
117,"this position is located in colorado, and the work is primarily in denver, co and, as such, employment in this position is subject to the labor and employment laws of the state of colorado."
118,alterra mtn co shared services inc. and its affiliates are equal opportunity employers and maintain drug-free workplaces.
119,"all employees and candidates are reminded that alterra mtn co shared services inc. and its affiliates adhere to all applicable labor and employment laws, and state, county, and city-specific labor and employment regulations, where applicable."
120,show less american express global business travel (american express gbt) customer experience team (cet) is seeking a technically skilled business systems analyst to support the global customer satisfaction (csat) process.
121,the business systems analyst will maintain daily data feed processes to our customer satisfaction survey provider using pre-developed database applications.
122,"this analyst will assist in identifying and correcting process gaps in the csat program, design virtual tools to improve efficiency, as well as work with the global customer experience team to ensure integrity of client setup within the program."
123,"for this position we’re looking for a candidate with qualtrics experience, advanced sql and data base create / management in access skills."
124,"main responsibilities
processing daily csat input file
maintain client csat profiles using sharepoint and front end database tools
maintain csat data warehouse environment
support cet insights team in troubleshooting and analyzing csat process
provide analytical review of global csat volumes and discrepancies
develop database tools to support csat setup and global reporting
sharepoint site and workflow design, team site maintenance and support
develop sharepoint collaboration tools for the global customer experience team to support all aspects of csat
interface with service delivery and client management as needed to support proper csat setup and reporting
act as sme for all network queries on the medallia tool and csat processes
provide creative solutions to enhance csat visibility within gbt and value both internally and externally
document business processes
must have qualtrics experience

location
united states - virtual location

it is our policy to provide equal employment opportunities to all individuals based on job-related qualifications and ability to perform a job, without regard to age, gender, gender identity, sexual orientation, race, color, religion, creed, national origin, disability, genetic information, veteran status, citizenship or marital status, and to maintain a non-discriminatory environment free from intimidation, harassment or bias based upon these grounds."
125,"gbt recruitment privacy statement
show less description:

· the information security analyst is responsible for the day-to-day delivery, support, and continual improvement of identity and access management (iam) services provided by the identity and access management team."
126,"· this role provides technical expertise and assists with defining standard methodologies for on-premises and cloud-based systems as well as design, implementing, and administrating one or more security/iam/pam solutions."
127,"responsibilities

· design, implement, and support identity platforms and systems for managing access to all systems across the organization

· provide guidance in the design, implementation, administration, operation, and support of existing and new identity access platforms and systems across a hybrid enterprise

· provide guidance on multi-factor authentication/single sign-on, identity governance administration, privileged access, and role-based access management

· provide domain expertise by collaborating with information technology, cyber security, and system engineering supporting identity and access management initiatives through least privileged based design using single sign-on and multi-factor authentication

· support full cycle iam processes including system access requests and user life cycle activities

· coordinate the implementation of process improvements and automation

· collaborate in the design, development, and maintenance of user repositories and directories

· assist with building training processes and documentation for both technical and business users

· continues to remain current knowledge of new technologies and corporate information systems as they affect information security."
128,"· skills in computer software, technical aptitude, and the ability to learn and utilize new software systems are required."
129,· required to function independently to analyze information and report variances.
130,"· effective oral and written communication skills are necessary, especially the ability to present technical information to an audience with a broad range of information technology experience."
131,"education/experience

· bachelor’s degree is typically required in information systems, computer science or related field."
132,cisspor other industry certifications are desired.
133,successful candidates typically have 2 or more years of experience in information security and 5 or more years of experience in it.
134,"· preferred qualifications include experience with identity and access management related products such as sailpoint, azure, ping, or duo."
135,"job type: contract

pay: $50.00 - $53.00 per year

schedule:

8 hour shift
day shift
monday to friday

ability to commute/relocate:

topeka, ks: reliably commute or planning to relocate before starting work (required)

experience:

linux: 5 years (preferred)
cybersecurity: 5 years (preferred)
information security: 5 years (preferred)
identity & access management: 5 years (preferred)

work location: one location

show less identity & access management analyst needed to fill a new position for a well-respected client headquartered in omaha, ne."
136,apply today to take advantage of this unique and exciting opportunity!
137,what is great about this opportunity?
138,"direct hire opportunity
do you align with these key qualifications?"
139,"iam experience - someone that knows and understands ad
privileged access management
accenture implementation manager

what will you do?"
140,"report to the manager identity & access management and there is a lead iam analyst, iam analyst, and security administrator already on the team."
141,"the team is working on building out a new iam program
what will you receive?"
142,"gain access to the aureus group team:

partnership with experienced recruiters that will advise you on all aspects of your job search and career aspirations
our network has direct access to hiring managers and we will get your resume to the top of the pile of submissions for this opportunity and many more like this
long-term career partner who will provide you with market intelligence and guidance
client benefits:

industry competitive salary based on your experience/qualifications
health, vision, and dental insurance
401(k) plan
pto
& much more!"
143,do you want to know more?
144,"if you have a background that lines up well with the identity & access management analyst description and are interested in learning more about this opportunity, apply below now!"
145,studies have shown that people are less likely to apply for jobs unless they meet every qualification.
146,"at aureus group we strive to provide the best experience and opportunities for everyone, so if you are excited about this role but your experience doesn‚äôt align perfectly with every qualification listed, we still encourage you to apply."
147,you may be the right candidate for this or other available roles we have.
148,"position: systems administrator

physical abilities: up to 10lbs

for the most prompt response, please apply online."
149,resumes may also be sent to isjobs@aureusgroup.com or call (888) 239-5993 for more information.
150,"applicants must be currently authorized to work in the united states on a full-time basis, and we will not sponsor applicants for employment visa status."
151,"we do not accept unsolicited applications or resumes from staffing, recruitment or other employment consulting firms."
152,"as always, there is never a fee for candidates to utilize our services."
153,"show less job description:

position summary
provide analytical support in executing internal control discipline and operational excellence within a lob/ecf."
154,gather and organize data in order to monitor and test the effectiveness of key controls and status of mitigation and action plans.
155,"prepare documentation for the tracking, monitoring, and escalation of risk related issues to management."
156,acts as an ambassador of the risk culture.
157,incumbents typically have over 5+ years of risk management and/or lob/ecf experience.
158,"required skills

strong project management and communication skills

ability to prioritize work, facilitate meetings and provide effective communications / reporting with various levels of the organization."
159,"knowledge of application life cycle management, risk management, and information security best practices

advanced knowledge and extensive expertise of sharepoint, ms excel & powerpoint

general background in technology risk and controls

experience working with audit and managing audit issues remediation

technical background in application development and information security

specific background in identity and access management

experience managing deliverables using the rise tool

typically a minimum of 4 years of experience in one or more of the following areas: audit, risk management, program management, or application product management in a global organization

general background in portfolio management- creation of program portfolio dashboards, project summary /status reports

desired skills

general knowledge of general bank policies, programs and procedures

demonstrated experience with process improvement

job band:

h5

shift:

1st shift (united states of america)

hours per week:

40

weekly schedule:

referral bonus amount:

0
show less company description


at biogen, our mission is clear: we are pioneers in neuroscience."
160,"biogen discovers, develops, and delivers worldwide innovative therapies for people living with serious neurological and neurodegenerative diseases."
161,"one of the world’s first global biotechnology companies, biogen was founded in 1978 and today has the leading portfolio of medicines to treat multiple sclerosis, has introduced the first and only approved treatment for spinal muscular atrophy, and is focused on advancing neuroscience research programs in alzheimer’s disease and dementia, ms and neuroimmunology, movement disorders, neuromuscular disorders, acute neurology, neurocognitive disorders, pain, and ophthalmology."
162,biogen also manufactures and commercializes biosimilars of advanced biologics.
163,"job description


about this role:

as the senior identity and access management (iam) business and technical analyst, you will utilize your knowledge of iam to enhance biogen’s current state capabilities."
164,the individual in this position will combine their deep technical experience with iam implementation acumen to excel as a business partner.
165,"you possess the ability to quickly comprehend the business need, you will translate those needs into business and technical requirements in partnership with the iam architect, identifying integration challenges and developing plans of action to resolve, assuring identity and access management minimum requirements are implemented in a way that exceeds expectations."
166,"you will support continuous business process improvement (related to iam), test case development and test case de-bugging, test new solution features, and facilitate production deployment."
167,you will be an essential part of a distributed yet highly collaborative team.
168,"what you’ll do

gather and analyze requirements to facilitate iam capability enhancements and solution implementation; demonstrate a strong understanding of the business needs
ensure solution delivery meets business need and expectation through business requirement gathering
gather and validate business needs to translate into requirements for technical team."
169,"work with technical teams to develop technical requirements and solutions
document new identity management automation processes, workflows, and policies
assess new solution provider product features for adoption by the iam practice
ensure system configurations, operating procedures and application integration documentation is delivered and maintained
research new application integrations and validate functionality via proof-of-concept models
participate in integration testing from development to production deployment
provide knowledge transfer and support to iam operations team
work directly with internal it and business stakeholders to integrate applications into the iam platform
be point of contact for business focused application questions and be able to identify and leverage resources across it
model and enhance business process diagrams and other related models to capture business operations change requirements within defined opportunities or projects, modeling both current and future state, typically using a graphical bpa or business process modeling tool."
170,"define the needed business cases with project team and process owner, defining business outcomes, including current baseline and future target metrics, such as leading and lagging indicators, and linking to strategic key performance indicators (kpis)."
171,document business requirements for system enhancements and collaborate with it to ensure effective development and testing needed for successful solution deployment.
172,"proactively identify and record risks, issues, dependencies, and assumptions in accordance with policy and process standards."
173,"agree on escalation levels with management, then manage those risks through to resolution, including the required evidence."
174,"who you are:

as the ideal candidate for this role, you are deeply experienced working with sailpoint identity iq through analysis, development, and deployment of multiple capabilities, services, and features."
175,the ideal candidate will have experience developing within the sailpoint identity iq application.
176,you also have prior experience o effectively communicate and liaise with both business and technical stakeholders.
177,"based on your experience, you are able to weave identity governance and administration and authentication services together."
178,"you will implement new features, capabilities, processes and technical changes into the environment, making certain that proper access governance is achieved."
179,you will also be responsible for maintaining the integrity of the requirements throughout the software development life cycle.
180,"qualifications


required skills:

3+ years' experience developing in sailpoint identityiq
5+ years' experience working with sailpoint identityiq
8+ years’ experience working within gxp regulated environments
experience with identity lifecycle management, access certification solutions
experience with federated identity management
experience with managing cloud identities (e.g.salesforce.com, veeva, microsoft azure and 0365, servicenow, etc.)"
181,"a plus
basic networking knowledge
experience implementing rbac and abac strategies, performing role mining, analysis and engineering
experience with application/platform onboarding, user provisioning and de-provisioning; access review and certification
excellent analytical and decision-making skills
good oral and written communication skills and the capability to explain technical matters in simple terms
ability to build relationships and operate within a collaborative team environment."
182,"educational requirements:

bachelor's degree in computer science, information systems, engineering or related major

cissp, cism, or identity related certification preferred."
183,"additional information


“diversity is key for the survival of our ecosystem."
184,"i believe it is the single most important factor for a balanced flourishing environment where everyone thrives.”

guy hadari – chief information officer- biogen

all your information will be kept confidential according to eeo guidelines."
185,"to apply to this job, click easy apply

show less company description


at biogen, our mission is clear: we are pioneers in neuroscience."
186,"biogen discovers, develops, and delivers worldwide innovative therapies for people living with serious neurological and neurodegenerative diseases."
187,"one of the world’s first global biotechnology companies, biogen was founded in 1978 and today has the leading portfolio of medicines to treat multiple sclerosis, has introduced the first and only approved treatment for spinal muscular atrophy, and is focused on advancing neuroscience research programs in alzheimer’s disease and dementia, ms and neuroimmunology, movement disorders, neuromuscular disorders, acute neurology, neurocognitive disorders, pain, and ophthalmology."
188,biogen also manufactures and commercializes biosimilars of advanced biologics.
189,"job description


about this role:

as the senior identity and access management (iam) business and technical analyst, you will utilize your knowledge of iam to enhance biogen’s current state capabilities."
190,the individual in this position will combine their deep technical experience with iam implementation acumen to excel as a business partner.
191,"you possess the ability to quickly comprehend the business need, you will translate those needs into business and technical requirements in partnership with the iam architect, identifying integration challenges and developing plans of action to resolve, assuring identity and access management minimum requirements are implemented in a way that exceeds expectations."
192,"you will support continuous business process improvement (related to iam), test case development and test case de-bugging, test new solution features, and facilitate production deployment."
193,you will be an essential part of a distributed yet highly collaborative team.
194,"what you’ll do

gather and analyze requirements to facilitate iam capability enhancements and solution implementation; demonstrate a strong understanding of the business needs
ensure solution delivery meets business need and expectation through business requirement gathering
gather and validate business needs to translate into requirements for technical team."
195,"work with technical teams to develop technical requirements and solutions
document new identity management automation processes, workflows, and policies
assess new solution provider product features for adoption by the iam practice
ensure system configurations, operating procedures and application integration documentation is delivered and maintained
research new application integrations and validate functionality via proof-of-concept models
participate in integration testing from development to production deployment
provide knowledge transfer and support to iam operations team
work directly with internal it and business stakeholders to integrate applications into the iam platform
be point of contact for business focused application questions and be able to identify and leverage resources across it
model and enhance business process diagrams and other related models to capture business operations change requirements within defined opportunities or projects, modeling both current and future state, typically using a graphical bpa or business process modeling tool."
196,"define the needed business cases with project team and process owner, defining business outcomes, including current baseline and future target metrics, such as leading and lagging indicators, and linking to strategic key performance indicators (kpis)."
197,document business requirements for system enhancements and collaborate with it to ensure effective development and testing needed for successful solution deployment.
198,"proactively identify and record risks, issues, dependencies, and assumptions in accordance with policy and process standards."
199,"agree on escalation levels with management, then manage those risks through to resolution, including the required evidence."
200,"who you are:

as the ideal candidate for this role, you are deeply experienced working with sailpoint identity iq through analysis, development, and deployment of multiple capabilities, services, and features."
201,the ideal candidate will have experience developing within the sailpoint identity iq application.
202,you also have prior experience o effectively communicate and liaise with both business and technical stakeholders.
203,"based on your experience, you are able to weave identity governance and administration and authentication services together."
204,"you will implement new features, capabilities, processes and technical changes into the environment, making certain that proper access governance is achieved."
205,you will also be responsible for maintaining the integrity of the requirements throughout the software development life cycle.
206,"qualifications


required skills:

3+ years' experience developing in sailpoint identityiq
5+ years' experience working with sailpoint identityiq
8+ years’ experience working within gxp regulated environments
experience with identity lifecycle management, access certification solutions
experience with federated identity management
experience with managing cloud identities (e.g.salesforce.com, veeva, microsoft azure and 0365, servicenow, etc.)"
