Skills Community,Category,Specialty Area,Work Role,Competency Group ID,Competency Group,Competency ID,Competency,K S or A,KSA ID,KSA
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0134,Knowledge of deployable forensics.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0182,"Knowledge of data carving tools and techniques (e.g., Foremost)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0184,"Knowledge of anti-forensics tactics, techniques, and procedures."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Knowledge,K0185,"Knowledge of forensics lab design configuration and support applications (e.g., VMWare, Wireshark)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0047,Skill in preserving evidence integrity according to standard operating procedures or national standards.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0065,"Skill in identifying and extracting data of forensic interest in diverse media (i.e., media forensics)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0068,"Skill in collecting, processing, packaging, transporting, and storing electronic evidence to avoid alteration, loss, physical damage, or destruction of data."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0069,Skill in setting up a forensic workstation.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0071,"Skill in using forensic tool suites (e.g., EnCase, Sleuthkit, FTK)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0075,"Skill in conducting forensic analyses in multiple operating system environments (e.g., mobile device systems)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0090,Skill in analyzing anomalous code as malicious or benign.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Skill,S0091,Skill in analyzing volatile data.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Ability,A0005,Ability to decrypt digital data collections.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C005,Computer Forensics,Ability,A0175,Ability to examine digital media on multiple operating system platforms.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C006,Computer Languages,Skill,S0060,"Skill in writing code in a currently supported programming language (e.g., Java, C++)."
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C007,Computer Network Defense,Knowledge,K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C007,Computer Network Defense,Knowledge,K0110,"Knowledge of adversarial tactics, techniques, and procedures."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C007,Computer Network Defense,Skill,S0053,Skill in tuning sensors.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C007,Computer Network Defense,Skill,S0098,WITHDRAWN: Skill in detecting host and network based intrusions via intrusion detection technologies. (See S0025)
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),CG01,Technical,C007,Computer Network Defense,Knowledge,K0157,"Knowledge of cyber defense and information security policies, procedures, and regulations."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Policy and Strategy Planner (OV-SPP-002),CG01,Technical,C007,Computer Network Defense,Knowledge,K0234,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation)."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Workforce Developer and Manager (OV-SPP-001),CG01,Technical,C007,Computer Network Defense,Knowledge,K0234,"Knowledge of full spectrum cyber capabilities (e.g., defense, attack, exploitation)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C007,Computer Network Defense,Skill,S0092,Skill in identifying obfuscation techniques.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C007,Computer Network Defense,Skill,S0093,"Skill in interpreting results of debugger to ascertain tactics, techniques, and procedures."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C008,Computers and Electronics,Knowledge,K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage)."
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C008,Computers and Electronics,Skill,S0074,Skill in physically disassembling PCs.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0270,Knowledge of the acquisition/procurement life cycle process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG02,Operational,C010,Contracting/Procurement,Ability,A0056,Ability to ensure security practices are followed throughout the acquisition process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Investment/Portfolio Manager (OV-PMA-004),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Investment/Portfolio Manager (OV-PMA-004),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Investment/Portfolio Manager (OV-PMA-004),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0270,Knowledge of the acquisition/procurement life cycle process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0270,Knowledge of the acquisition/procurement life cycle process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG02,Operational,C010,Contracting/Procurement,Ability,A0056,Ability to ensure security practices are followed throughout the acquisition process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0270,Knowledge of the acquisition/procurement life cycle process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG02,Operational,C010,Contracting/Procurement,Ability,A0031,Ability to conduct and implement market research to understand government and industry capabilities and appropriate pricing.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG02,Operational,C010,Contracting/Procurement,Ability,A0056,Ability to ensure security practices are followed throughout the acquisition process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161)
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0257,Knowledge of information technology (IT) acquisition/procurement requirements.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG02,Operational,C010,Contracting/Procurement,Knowledge,K0270,Knowledge of the acquisition/procurement life cycle process.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG02,Operational,C010,Contracting/Procurement,Ability,A0056,Ability to ensure security practices are followed throughout the acquisition process.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),CG03,Professional,C011,Critical Thinking,Ability,A0070,Ability to apply critical reading/thinking skills.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),CG03,Professional,C011,Critical Thinking,Ability,A0106,Ability to think critically.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG03,Professional,C011,Critical Thinking,Ability,A0070,Ability to apply critical reading/thinking skills.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG03,Professional,C011,Critical Thinking,Ability,A0106,Ability to think critically.
Cross Functional,Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),CG03,Professional,C011,Critical Thinking,Skill,S0359,Skill to use critical thinking to analyze organizational patterns and relationships.
Cross Functional,Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),CG03,Professional,C011,Critical Thinking,Ability,A0070,Ability to apply critical reading/thinking skills.
Cross Functional,Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),CG03,Professional,C011,Critical Thinking,Ability,A0085,Ability to exercise judgment when policies are not well-defined.
Cross Functional,Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),CG03,Professional,C011,Critical Thinking,Ability,A0106,Ability to think critically.
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C012,Data Analysis,Skill,S0072,Skill in using scientific rules and methods to solve problems.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),CG01,Technical,C012,Data Analysis,Ability,A0083,"Ability to evaluate information for reliability, validity, and relevance."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C012,Data Analysis,Ability,A0083,"Ability to evaluate information for reliability, validity, and relevance."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG01,Technical,C012,Data Analysis,Knowledge,K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG01,Technical,C012,Data Analysis,Knowledge,K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG01,Technical,C012,Data Analysis,Knowledge,K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C013,Data Management,Ability,A0066,"Ability to accurately and completely source all data used in intelligence, assessment and/or planning products."
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),CG02,Operational,C014,Data Privacy and Protection,Knowledge,K0261,Knowledge of Payment Card Industry (PCI) data security standards.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),CG02,Operational,C014,Data Privacy and Protection,Knowledge,K0262,Knowledge of Personal Health Information (PHI) data security standards.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Cyber Legal Advisor (OV-LGA-001),CG02,Operational,C014,Data Privacy and Protection,Knowledge,K0615,Knowledge of privacy disclosure statements based on current laws.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Knowledge,K0066,Knowledge of Privacy Impact Assessments.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Knowledge,K0615,Knowledge of privacy disclosure statements based on current laws.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Skill,S0354,Skill in creating policies that reflect the business’s core privacy objectives.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Ability,A0110,Ability to monitor advancements in information privacy laws to ensure organizational adaptation and compliance.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Ability,A0111,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives. "
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Ability,A0115,"Ability to work across departments and business units to implement organization’s privacy principles and programs, and align privacy objectives with security objectives."
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG02,Operational,C014,Data Privacy and Protection,Ability,A0125,Ability to author a privacy disclosure statement based on current laws.
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C017,Encryption,Knowledge,K0305,Knowledge of data concealment (e.g. encryption algorithms and steganography).
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C017,Encryption,Skill,S0089,"Skill in one-way hash functions (e.g., Secure Hash Algorithm [SHA], Message Digest Algorithm [MD5])."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Workforce Developer and Manager (OV-SPP-001),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0101,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0047,Knowledge of information technology (IT) architectural concepts and frameworks.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0101,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0047,Knowledge of information technology (IT) architectural concepts and frameworks.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0047,Knowledge of information technology (IT) architectural concepts and frameworks.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0101,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Program Manager (OV-PMA-001),CG01,Technical,C018,Enterprise Architecture,Knowledge,K0200,"Knowledge of service management concepts for networks and related standards (e.g., Information Technology Infrastructure Library, current version [ITIL])."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG02,Operational,C019,External Awareness,Knowledge,K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development)."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Policy and Strategy Planner (OV-SPP-002),CG02,Operational,C019,External Awareness,Knowledge,K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development)."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Policy and Strategy Planner (OV-SPP-002),CG02,Operational,C019,External Awareness,Ability,A0037,Ability to leverage best practices and lessons learned of external organizations and academic institutions dealing with cyber issues.
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Workforce Developer and Manager (OV-SPP-001),CG02,Operational,C019,External Awareness,Knowledge,K0233,"Knowledge of the National Cybersecurity Workforce Framework, work roles, and associated tasks, knowledge, skills, and abilities."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Workforce Developer and Manager (OV-SPP-001),CG02,Operational,C019,External Awareness,Knowledge,K0313,"Knowledge of external organizations and academic institutions with cyber focus (e.g., cyber curriculum/training and Research & Development)."
Cross Functional,Oversee and Govern (OV),Strategic Planning and Policy (SPP),Cyber Workforce Developer and Manager (OV-SPP-001),CG02,Operational,C019,External Awareness,Ability,A0037,Ability to leverage best practices and lessons learned of external organizations and academic institutions dealing with cyber issues.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C020,Identity Management,Knowledge,K0007,"Knowledge of authentication, authorization, and access control methods."
Cross Functional,Investigate (IN),Cyber Investigation (INV),Cyber Crime Investigator (IN-INV-001),CG01,Technical,C021,Incident Management,Knowledge,K0231,"Knowledge of crisis management protocols, processes, and techniques. "
Cross Functional,Investigate (IN),Digital Forensics (FOR),Forensics Analyst (IN-FOR-001),CG01,Technical,C021,Incident Management,Knowledge,K0042,Knowledge of incident response and handling methodologies.
Cross Functional,Oversee and Govern (OV),Legal Advice and Advocacy (LGA),Privacy Officer/Privacy Compliance Manager (OV-LGA-002),CG01,Technical,C021,Incident Management,Ability,A0113,Ability to determine whether a security incident violates a privacy principle or legal standard requiring specific legal action.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Product Support Manager (OV-PMA-003),CG01,Technical,C021,Incident Management,Knowledge,K0150,"Knowledge of enterprise incident response program, roles, and responsibilities."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),CG01,Technical,C022,Information Assurance,Knowledge,K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C022,Information Assurance,Knowledge,K0246,"Knowledge of relevant concepts, procedures, software, equipment, and technology applications."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C022,Information Assurance,Skill,S0006,"Skill in applying confidentiality, integrity, and availability principles."
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),CG01,Technical,C023,Information Management,Knowledge,K0287,Knowledge of an organization's information classification program and procedures for information compromise.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructional Curriculum Developer (OV-TEA-001),CG01,Technical,C023,Information Management,Ability,A0105,Ability to tailor technical and planning information to a customer’s level of understanding.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C023,Information Management,Knowledge,K0287,Knowledge of an organization's information classification program and procedures for information compromise.
Cross Functional,Oversee and Govern (OV),"Training, Education, and Awareness (TEA)",Cyber Instructor (OV-TEA-002),CG01,Technical,C023,Information Management,Ability,A0105,Ability to tailor technical and planning information to a customer’s level of understanding.
Cross Functional,Oversee and Govern (OV),Executive Cyber Leadership (EXL),Executive Cyber Leadership (OV-EXL-001),CG01,Technical,C023,Information Management,Ability,A0105,Ability to tailor technical and planning information to a customer’s level of understanding.
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG01,Technical,C023,Information Management,Knowledge,K0120,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),Information Technology (IT) Project Manager (OV-PMA-002),CG01,Technical,C023,Information Management,Skill,S0372,"Skill to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Investment/Portfolio Manager (OV-PMA-004),CG01,Technical,C023,Information Management,Knowledge,K0120,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Investment/Portfolio Manager (OV-PMA-004),CG01,Technical,C023,Information Management,Skill,S0372,"Skill to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise."
Cross Functional,Oversee and Govern (OV),Project Management/Acquisition and Program (PMA),IT Program Auditor (OV-PMA-005),CG01,Technical,C023,Information Management,Knowledge,K0120,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise."
