role,KSA ID,description
Knowledge,K0008,Knowledge of applicable business processes and operations of customer organizations.
Knowledge,K0002,"Knowledge of risk management processes (e.g., methods for assessing and mitigating risk)."
Knowledge,K0169,"Knowledge of information technology (IT) supply chain security and supply chain risk management policies, requirements, and procedures."
Knowledge,K0048,Knowledge of Risk Management Framework (RMF) requirements.
Knowledge,K0154,"Knowledge of supply chain risk management standards, processes, and practices."
Knowledge,K0165,Knowledge of risk/threat assessment.
Knowledge,K0186,Knowledge of debugging procedures and tools.
Knowledge,K0248,Knowledge of strategic theory and practice.
Knowledge,K0235,"Knowledge of how to leverage research and development centers, think tanks, academic research, and industry systems."
Knowledge,K0130,Knowledge of virtualization technologies and virtual machine development and maintenance.
Knowledge,K0078,Knowledge of server diagnostic tools and fault identification techniques.
Knowledge,K0167,"Knowledge of system administration, network, and operating system hardening techniques."
Knowledge,K0090,"Knowledge of system life cycle management principles, including software security and usability."
Knowledge,K0217,Knowledge of Learning Management Systems and their use in managing learning.
Knowledge,K0220,"Knowledge of modes of learning (e.g., rote learning, observation)."
Knowledge,K0243,"Knowledge of organizational training and education policies, processes, and procedures."
Knowledge,K0245,Knowledge of principles and processes for conducting training and education needs assessment.
Knowledge,K0250,Knowledge of Test & Evaluation processes for learners.
Knowledge,K0252,"Knowledge of training and education principles and methods for curriculum design, teaching and instruction for individuals and groups, and the measurement of training and education effects."
Knowledge,K0628,"Knowledge of cyber competitions as a way of developing skills by providing hands-on experience in simulated, real-world situations."
Knowledge,K0124,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain.
Knowledge,K0204,"Knowledge of learning assessment techniques (rubrics, evaluation plans, tests, quizzes)."
Knowledge,K0208,Knowledge of computer based training and e-learning services. 
Knowledge,K0213,"Knowledge of instructional design and evaluation models (e.g., ADDIE, Smith/Ragan model, Gagne’s Events of Instruction, Kirkpatrick’s model of evaluation)."
Knowledge,K0216,"Knowledge of learning levels (i.e., Bloom’s Taxonomy of learning)."
Knowledge,K0215,Knowledge of organizational training policies.
Knowledge,K0218,"Knowledge of learning styles (e.g., assimilator, auditory, kinesthetic)."
Knowledge,K0226,Knowledge of organizational training systems.
Knowledge,K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.
Knowledge,K0115,Knowledge that technology that can be exploited.
Knowledge,K0309,Knowledge of emerging technologies that have potential for exploitation.
Knowledge,K0311,Knowledge of industry indicators useful for identifying technology trends.
Knowledge,K0335,Knowledge of current and emerging cyber technologies.
Knowledge,K0614,"Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems."
Knowledge,K0148,Knowledge of import/export control regulations and responsible agencies for the purposes of reducing supply chain risk.
Knowledge,K0164,"Knowledge of functionality, quality, and security requirements and how these will apply to specific items of supply (i.e., elements and processes)."
Knowledge,K0107,"Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations."
Knowledge,K0144,Knowledge of social dynamics of computer attackers in a global context.
Knowledge,K0244,Knowledge of physical and physiological behaviors that may indicate suspicious or abnormal activity.
Knowledge,K0183,Knowledge of reverse engineering concepts.
Knowledge,K0188,"Knowledge of malware analysis tools (e.g., Oily Debug, Ida Pro)."
Knowledge,K0189,"Knowledge of malware with virtual machine detection (e.g. virtual aware malware, debugger aware malware, and unpacked malware that looks for VM-related strings in your computer’s display device)."
Knowledge,K0612,Knowledge of what constitutes a “threat” to a network.
Knowledge,K0005,Knowledge of cyber threats and vulnerabilities. 
Knowledge,K0006,Knowledge of specific operational impacts of cybersecurity lapses.
Knowledge,K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code)."
Knowledge,K0624,Knowledge of Application Security Risks (e.g. Open Web Application Security Project Top 10 list)
Knowledge,K0147,"Knowledge of emerging security issues, risks, and vulnerabilities."
Knowledge,K0009,Knowledge of application vulnerabilities.
Knowledge,K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.
Knowledge,K0314,Knowledge of industry technologies’ potential cybersecurity vulnerabilities.
Knowledge,K0119,Knowledge of hacking methodologies.
Knowledge,K0187,Knowledge of file type abuse by adversaries for anomalous behavior.
Knowledge,K0131,"Knowledge of web mail collection, searching/analyzing techniques, tools, and cookies."
Knowledge,K0371,"Knowledge of principles of the collection development processes (e.g., Dialed Number Recognition, Social Network Analysis)."
Knowledge,K0557,"Knowledge of terminal or environmental collection (process, objectives, organization, targets, etc.)."
Knowledge,K0500,"Knowledge of organization and/or partner collection systems, capabilities, and processes (e.g., collection and protocol processors)."
Knowledge,K0433,Knowledge of forensic implications of operating system structure and operations.
Knowledge,K0573,Knowledge of the fundamentals of digital forensics to extract actionable intelligence.
Knowledge,K0447,"Knowledge of how to collect, view, and identify essential information on targets of interest from metadata (e.g., email, http)."
Knowledge,K0449,"Knowledge of how to extract, analyze, and use metadata."
Knowledge,K0051,"Knowledge of low-level computer languages (e.g., assembly languages)."
Knowledge,K0372,"Knowledge of programming concepts (e.g., levels, structures, compiled vs. interpreted languages)."
Knowledge,K0529,Knowledge of scripting
Knowledge,K0440,Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.
Knowledge,K0530,"Knowledge of security hardware and software options, including the network artifacts they induce and their effects on exploitation."
Knowledge,K0408,"Knowledge of cyber actions (i.e. cyber defense, information gathering, environment preparation, cyber-attack) principles, capabilities, limitations, and effects."
Knowledge,K0507,Knowledge of organization or partner exploitation of digital networks.
Knowledge,K0473,Knowledge of intrusion sets.
Knowledge,K0405,Knowledge of current computer-based intrusion sets.
Knowledge,K0424,Knowledge of denial and deception techniques.
Knowledge,K0472,Knowledge of intrusion detection systems and signature development.
Knowledge,K0423,Knowledge of deconfliction reporting to include external organization interaction.
Knowledge,K0422,Knowledge of deconfliction processes and procedures.
Knowledge,K0142,"Knowledge of collection management processes, capabilities, and limitations."
Knowledge,K0377,"Knowledge of classification and control markings standards, policies and procedures."
Knowledge,K0418,Knowledge of data flow process for terminal or environment collection.
Knowledge,K0484,"Knowledge of midpoint collection (process, objectives, organization, targets, etc.)."
Knowledge,K0389,Knowledge of collection sources including conventional and non-conventional sources.
Knowledge,K0567,Knowledge of the data flow from collection origin to repositories and tools. 
Knowledge,K0373,"Knowledge of basic software applications (e.g., data storage and backup, database applications) and the types of vulnerabilities that have been found in those applications."
Knowledge,K0420,Knowledge of database theory.
Knowledge,K0394,Knowledge of common reporting databases and tools. 
Knowledge,K0403,"Knowledge of cryptologic capabilities, limitations, and contributions to cyber operations."
Knowledge,K0428,Knowledge of encryption algorithms and tools for wireless local area networks (WLANs).
Knowledge,K0427,"Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP)."
Knowledge,K0399,Knowledge of crisis action planning and time sensitive planning procedures.
Knowledge,K0519,"Knowledge of planning timelines adaptive, crisis action, and time-sensitive planning."
Knowledge,K0586,Knowledge of the outputs of course of action and exercise analysis.
Knowledge,K0381,Knowledge of collateral damage and estimating impact(s).
Knowledge,K0543,Knowledge of target estimated repair and recuperation times.
Knowledge,K0429,Knowledge of enterprise-wide information management.
Knowledge,K0468,Knowledge of internal and external partner reporting.
Knowledge,K0576,Knowledge of the information environment.
Knowledge,K0354,Knowledge of relevant reporting and dissemination procedures.
Knowledge,K0451,Knowledge of identification and reporting processes.
Knowledge,K0409,Knowledge of cyber intelligence/information collection capabilities and repositories.
Knowledge,K0466,Knowledge of internal and external partner intelligence processes and the development of information requirements and essential information.
Knowledge,K0462,"Knowledge of intelligence reporting principles, policies, procedures, and vehicles, including report formats, reportability criteria (requirements and priorities), dissemination practices, and legal authorities and restrictions."
Knowledge,K0483,Knowledge of methods to integrate and summarize information from any potential sources.
Knowledge,K0435,"Knowledge of fundamental cyber concepts, principles, limitations, and effects."
Knowledge,K0561,"Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection)."
Knowledge,K0487,"Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection)."
Knowledge,K0357,WITHDRAWN: Knowledge of analytical constructs and their use in assessing the operational environment. (See K0224)
Knowledge,K0486,Knowledge of network construction and topology.
Knowledge,K0516,"Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc."
Knowledge,K0565,"Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications."
Knowledge,K0395,"Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.)."
Knowledge,K0417,"Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media)."
Knowledge,K0471,"Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering)."
Knowledge,K0443,"WITHDRAWN: Knowledge of how hubs, switches, routers work together in the design of a network. (See K0143)"
Knowledge,K0470,Knowledge of Internet and routing protocols.
Knowledge,K0489,Knowledge of network topology.
Knowledge,K0437,Knowledge of general Supervisory control and data acquisition (SCADA) system components.
Knowledge,K0555,Knowledge of TCP/IP networking protocols.
Knowledge,K0352,"Knowledge of forms of intelligence support needs, topics, and focus areas."
Knowledge,K0464,"Knowledge of intelligence support to planning, execution, and assessment."
Knowledge,K0525,Knowledge of required intelligence planning products associated with cyber operational planning.
Knowledge,K0544,Knowledge of target intelligence gathering and operational preparation techniques and life cycles.
Knowledge,K0457,Knowledge of intelligence confidence levels.
Knowledge,K0460,Knowledge of intelligence preparation of the environment and similar processes.
Knowledge,K0458,Knowledge of intelligence disciplines.
Knowledge,K0461,Knowledge of intelligence production processes.
Knowledge,K0550,"Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference."
Knowledge,K0411,Knowledge of cyber laws and legal considerations and their effect on cyber planning.
Knowledge,K0410,Knowledge of cyber laws and their effect on Cyber planning.
Knowledge,K0478,Knowledge of legal considerations in targeting.
Knowledge,K0485,Knowledge of network administration.
Knowledge,K0143,"Knowledge of front-end collection systems, including traffic collection, filtering, and selection."
Knowledge,K0393,Knowledge of common networking devices and their configurations.
Knowledge,K0058,Knowledge of network traffic analysis methods.
Knowledge,K0452,"Knowledge of implementing Unix and Windows systems that provide radius authentication and logging, DNS, mail, web service, FTP server, DHCP, firewall, and SNMP."
Knowledge,K0608,"Knowledge of Unix/Linux and Windows operating systems structures and internals (e.g., process management, directory structure, installed applications)."
Knowledge,K0397,"Knowledge of security concepts in operating systems (e.g., Linux, Unix.)"
Knowledge,K0400,Knowledge of crisis action planning for cyber operations.
Knowledge,K0414,Knowledge of cyber operations support or enabling processes.
Knowledge,K0436,"Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects."
