,job_title,role,description
88,Lead Data Management Analyst,analyst,role well fargo seeking lead data management analyst role organize lead companywide initiative ensure data quality maintained data effectively support business process oversee analysis reporting support regulatory requirement identify recommend analysis data quality integrity issue evaluate data quality metric data quality audit benchmark state data quality adhere data governance standard procedure identify new data source develop recommendation assessing quality new data lead project team mentor le experienced staff member recommend remediation process control gap align management strategy serve relationship manager line business consult provide recommendation senior management regarding assessment current state data metadata quality within area assigned responsibility represent client group develop companywide data governance strategy partner group various level seniority companywide coordinate drive collaboration solution design remediation execution required qualification u year data management business analysis analytics project management equivalent demonstrated one combination following training military education required qualification international data management business analysis analytics project management equivalent demonstrated one combination following training military education desired qualification job expectation responsibility lead data management analyst include acting abo abll application providing business requirement application reviewing application control plan maintained provided technology manager application understanding application security plan providing input recommendation plan finding gap part isra process providing business attribute application appone tool certifying ensuring compliance data management policy application providing business metadata approving data dictionary assessing approving data quality control remediating data quality defect issue supporting data privacy initiative meeting requirement alm policy application participating application lifecycle management sunrise maintenance sunset driving compliance activity application including record retention application access security regulatory risk reporting business continuity planning technology asset management identify alternate abo appone application well smes partnership technology manager partnering access management information security automated control accessibility data governance pay range annual benefit information well fargo employee benefit value diversity well fargo believe diversity equity inclusion workplace accordingly welcome application employment qualified candidate regardless race color gender national origin religion age sexual orientation gender identity gender expression genetic information individual disability pregnancy marital status status protected veteran status protected applicable law employee support focus building strong customer relationship balanced strong risk mitigating culture firmly establishes discipline critical success customer company accountable execution applicable risk program credit market financial crime operational regulatory compliance includes effectively following adhering applicable well fargo policy procedure appropriately fulfilling risk compliance obligation timely effective escalation remediation issue making sound risk decision emphasis proactive monitoring governance risk identification escalation well making sound risk decision commensurate business unit risk appetite risk compliance program requirement candidate applying job opening posted u qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability status protected veteran apply click apply show le report
89,Senior Data Management Analyst,analyst,role well fargo seeking senior data management analyst role develop lead program initiative data quality governance metadata activity design conduct complex analysis identify remediate data quality integrity issue identify remediate process control gap analyze test data control data system ensure quality risk compliance standard met identify data quality metric executes data quality audit benchmark state data quality adhere data governance standard procedure develop recommendation optimal approach resolve data quality issue develop implement plan assessing quality new data source lead project team mentor le experienced staff member drive planning coordination low medium sized remediation effort acting central point contact leverage domain expertise data business process analysis inform support solution design consult client current state data metadata quality within area assigned responsibility participate group develop companywide data governance strategy provide input communication routine stakeholder business partner experienced leader required qualification u year data management business analysis analytics project management equivalent demonstrated one combination following training military education required qualification international data management business analysis analytics project management equivalent demonstrated one combination following training military education desired qualification year data management data governance infolease sor system record lease connect soo system origination related leasing loan system commercial banking data working complex evolving data initiative demonstrated working knowledge data governance data management data compliance metadata management change management organization design working collaborating across line business ability institute strong data standard supporting strategic data objective job expectation responsibility senior data management analyst include acting abo abll application providing business requirement application reviewing application control plan maintained provided technology manager application understanding application security plan providing input recommendation plan finding gap part isra process providing business attribute application appone tool certifying ensuring compliance data management policy application providing business metadata approving data dictionary assessing approving data quality control remediating data quality defect issue supporting data privacy initiative meeting requirement alm policy application participating application lifecycle management sunrise maintenance sunset driving compliance activity application including record retention application access security regulatory risk reporting business continuity planning technology asset management identify alternate abo appone application well smes partnership technology manager partnering access management information security automated control accessibility data governance pay range annual benefit information well fargo employee benefit value diversity well fargo believe diversity equity inclusion workplace accordingly welcome application employment qualified candidate regardless race color gender national origin religion age sexual orientation gender identity gender expression genetic information individual disability pregnancy marital status status protected veteran status protected applicable law employee support focus building strong customer relationship balanced strong risk mitigating culture firmly establishes discipline critical success customer company accountable execution applicable risk program credit market financial crime operational regulatory compliance includes effectively following adhering applicable well fargo policy procedure appropriately fulfilling risk compliance obligation timely effective escalation remediation issue making sound risk decision emphasis proactive monitoring governance risk identification escalation well making sound risk decision commensurate business unit risk appetite risk compliance program requirement candidate applying job opening posted u qualified applicant receive consideration employment without regard race color religion sex sexual orientation gender identity national origin disability status protected veteran start job application click apply show le report
90,"Data Analyst, Strategic Operations",analyst,data analyst strategic operation data analyst please read global recognition pleasure leisure company providing consumer around world product content help lead happier healthier fulfilling life brand drive billion consumer spending annually social medium reach million people last year recorded record number including increase revenue looking stop team talent looking experienced data analyst join growing strategic operation team data analyst gather organize synthesize data relevant consumer product operation activity lead management dashboard report maintain validate data visualization tool automated report lead development data warehouse architecture within bigquery identify pattern find opportunity present build new tool use data solve business issue assist development data pipeline data sanitization consolidation train colleague new existing data tool set terminology build statistical model analyze kpi trend provide insight stakeholder testing test module provide analysis executive always contribute positive environment need position sql bq standard sql mysql microsoft sql server postgresql year data analyst similar data warehouse architecture implementation dbt google analytics year data visualization tool looker tableau excel data language lookml python sql access preferred marketing merchandising ecommerce salesforce data integration architecture competitive salary medical dental vision life pet insurance family generous paid parental leave fertility benefit access coaching legal support matching flexible time away professional growth opportunity data analyst strategic operation please apply today applicant must authorized cybercoders inc proud equal opportunity employer qualified applicant receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right compliance federal law person hired required verify identity eligibility united state complete required employment eligibility verification document form upon hire cybercoders consider employment city los angeles qualified applicant criminal history manner consistent requirement los angeles fair chance initiative hiring ban box ordinance show le report
91,Cybersecurity Business Analyst - Identity and Access Management,analyst,vp cybersecurity business analyst identity access management global identity access management giam team within cybersecurity technology control ctc organization looking business analyst help shape future access management within firm looking candidate strong analytical skill technical deliver solution complex organizational problem giam provides access control governance identity service line business lob globally providing right access right people right time technology platform application giam provides comprehensive set application tool staff globally implement manage monitor technology risk solution business analyst role policy management product team part shaping key technology solution drive strategic initiative across firm working intersection business technology cybersecurity interact colleague various lob learn challenge opportunity share learning team translate insight quality solution realize business value addition working new solution help optimize existing technology identify new capability partnering risk control team deliver best class secure solution improve employee role requires deep technological skill also hinge teamwork ownership offer clear guidance feedback product team promoting value culture brand jpmorgan chase co role requires wide variety strength capability including degree equivalent year similar role identity access management technology risk management strongly preferred proficiency agile methodology jira including writing user story managing product backlog ability prioritize understanding affecting schedule budget resource expectation update roadmaps interactive session ability develop articulate well thought business case financial bottom line impact strong analytical skill attention detail participating internal external audit examination ensuring corrective action implemented timely address finding recommendation high level energy pressure minimal supervision ability independently collaboratively team managing multiple project simultaneously appropriate sense urgency excellent verbal written skill critical since job primarily entail communicating technical information technical audience responsibility include limited support product offering client engagement continuous improvement facilitate communication stakeholder ensure prioritized appropriately meet business objective managing competing priority lob ensure functional design considering user pain point usability test result market industry knowledge well continual research deliver product technical stakeholder team specify epic story sufficient discussion acceptance criterion ensure successful delivery oversee process discovery delivery including refinement estimation backlog management enable product meet sprint backlog health measure collaborate business analyst achieve shared product goal outcome partnering client engagement team provide sme knowledge lob engagement required departmental kpi metric tracking reporting organization description cybersecurity technology control group jpmorgan chase aligns firm cybersecurity access management control resiliency team group proactively strategically partner line business function enable design adopt integrate appropriate control deliver process solution efficiently consistently drive automation control group number one priority enable business keeping firm safe stable resilient high risk role hrr sensitive role within technology organization require high assurance integrity staff virtue sensitive cybersecurity technology function perform within system information receive regarding sensitive cybersecurity technology matter user role subject enhanced screening includes criminal credit background check allowed law enhanced screening need successfully completed prior commencing employment assignment employer description jpmorgan chase one oldest financial institution offer innovative financial solution million consumer small business many world prominent corporate institutional government client morgan chase brand history span year today leader investment banking consumer small business banking commercial banking financial transaction processing asset management recognize people strength diverse talent bring global workforce directly linked success equal opportunity employer place high value diversity equity inclusion company discriminate basis protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability basis protected applicable law accordance applicable law make reasonable accommodation applicant employee religious practice belief well mental health physical disability need health safety colleague candidate client community top priority light pandemic jpmorgan chase awarded well rating location globally based operational policy maintenance protocol stakeholder engagement emergency plan address environment part commitment health safety implemented various health safety requirement workforce employee expected follow firm current infectious disease health safety requirement including local requirement requirement include sharing information including vaccine card firm vaccine record tool may include mask wearing requirement may change future evolving public health landscape jpmorgan chase consider accommodation request required applicable law jpmorgan chase one oldest financial institution offer innovative financial solution million consumer small business many world prominent corporate institutional government client morgan chase brand history span year today leader investment banking consumer small business banking commercial banking financial transaction processing asset management recognize people strength diverse talent bring global workforce directly linked success equal opportunity employer place high value diversity inclusion company discriminate basis protected attribute including race religion color national origin gender sexual orientation gender identity gender expression age marital veteran status pregnancy disability basis protected applicable law accordance applicable law make reasonable accommodation applicant employee religious practice belief well mental health physical disability need health safety colleague candidate client community top priority light pandemic jpmorgan chase awarded well rating location globally based operational policy maintenance protocol stakeholder engagement emergency plan address environment part commitment health safety implemented various health safety requirement workforce employee expected follow firm current infectious disease health safety requirement including local requirement requirement include sharing information including vaccine card firm vaccine record tool may include mask wearing requirement may change future evolving public health landscape jpmorgan chase consider accommodation request required applicable law offer competitive total reward package including base salary determined based role skill set location eligible role discretionary incentive compensation may awarded recognition individual achievement contribution also offer range benefit program meet employee need based eligibility benefit include comprehensive health care coverage health wellness center retirement saving plan backup childcare tuition reimbursement mental health support financial coaching additional detail total compensation benefit provided hiring process equal opportunity apply click apply show le report
92,Security Identity & Access Management Analyst,analyst,requisition id category location overview security identity access management analyst carrollton tx tmx family company looking security identity access management analyst join team part dynamic corporate culture dedicated supporting store team member responsible assisting information security team building central iam framework enable integrated across tmx system platform position report directly manager information security responsibility develop maintain identity access management solution develop maintain privilege access management pam solution ensures right people gain access right material record right time manage service delivery performance identity access management lifecycle manage manual access delivery removal service accountable quality delivery critical access control collaborate broader team implement logged elevated access control administrative function align information security policy standard sop strategic iam vision perform operation access request fulfilment administration process ensuring access accurately timely manner keeping audit trail request execute access attestation remediation request defined access control operating procedure communicate internal external stakeholder keep informed project milestone deliverable partner broader security team needed participate day day security operation assist monitoring documenting implementing prescribed corrective action resulting security assessment penetration testing qualification year information security operation identity governance understanding information technology operating process used system ensure effective delivery including limited operation mandatory operating standard monitoring logging alerting excellent verbal written communication skill including ability effectively document procedure ability perform analysis collected security related data compile meaningful report effectively present finding management demonstrate understanding one common security framework standard nist iso hitrust equivalent demonstrated ability team collaborative interpersonal style strong organizational multitasking skill strong analytical skill strong attention detail skill ability independently limited supervision preferred qualification year identity access management year integrating application single sign year implementing authentication system knowledge implementing privileged access model platform application familiarity sox ssae compliance plus benefit include comprehensive new hire training program designed help set success access robust learning management system full module training program help boost professional personal development professional development mentor program plus ongoing training resource multiple coverage level medical dental vision group health wellness program plus special saving retail item travel entertainment tmx perk traditional k roth k company match flexible spending account basic ad life insurance voluntary benefit including disability insurance accident critical illness hospital confinement insurance paid time accrue day per calendar year plus additional day year service first year employment day total career advancement diverse culture inclusive environment learn u security identity access management analyst part information security team team provides business solution analytics support entire organization learn team visit http check happening company http information contained herein intended list duty responsibility job intended list skill ability required job company may discretion revise job description time additional function requirement may assigned supervisor deemed appropriate requirement skill ability included determined illustrate minimal standard required successfully perform position based current benefit offering subject change without notice certain benefit subject term condition governing plan document consulted additional detail eligibility requirement important tmx family company never ask banking payment information point interview hiring process conduct interview via text message official email correspondence come domain position remote option available question verification call tmx family company equal opportunity employer indcorp apply click apply show le report
93,Senior Identity & Access Management Analyst (Hybrid/Remote),analyst,job type staff full time location uma amherst department information security union psu category computer information technology senior identity access management analyst uma amherst uma amherst commonwealth flagship campus nationally ranked public research university offering full range undergraduate graduate professional degree university sits nearly scenic pioneer valley western massachusetts offer rich cultural environment bucolic setting close major urban center addition university part five college including amherst college hampshire college mount holyoke college smith college add intellectual energy region job summary senior identity access management analyst technical staff member information security organization supporting application business process infrastructure service provided information technology department identity access management analyst collaborate university business stakeholder develop administer identity access management iam capability enable full lifecycle management uma amherst account identity credential entitlement according security privacy compliance requirement position perform security analysis risk assessment improve security setting policy standard position requires deep knowledge governance risk compliance grc solid understanding data security academic business operation law regulation audit essential function identity access management administration executes improves identity access management iam control activity may include limited access entitlement review access recertification authorization segregation duty computer account management collaborates human resource maintain access authorization control identifies resolve gap business process may include user documentation data interface design data migration reconciliation interacts end user manager data custodian ensure compliance access control audit procedure provides operational support oversight service authorization mfa active directory identity management idm stakeholder vendor uits internal department identifies document lead remediation information security operational issue impacting university identity management system information security staff member function backup capacity security office function develops security awareness education outreach program focus protecting confidentiality integrity availability university information ensures member university community aware applicable security law regulation impact upon information u university prepares delivers training material independently via third party training partner interface responds internal state auditor request needed performs security risk accordance established security policy procedure research recommends promotes security policy guideline focus protecting confidentiality integrity availability university data computer asset local cloud ensures compliance federal state local legislation relative university information security lead information security strategic tactical planning disaster recovery business continuity planning promote university commitment customer service building effective partnership throughout university freely sharing appropriate information providing assistance needed ensuring optimum service internal external partner response request service information maintaining environment welcoming person background nationality role function performs related duty assigned accomplish academic administrative research goal university minimum qualification high school diploma year associate degree may substituted year required bachelor degree may substituted year required working knowledge security privacy audit compliance requirement applicable iam higher education gdpr hipaa pci etc iam principle policy segregation duty analysis access review authorization authentication protocol access governance working knowledge active directory including security group structure policy demonstrated enterprise application security administration tool idm application suite knowledge authentication mfa solution technology demonstrated oral written communication skill prepare deliver information security procedure standard guideline technical audience ability team environment take direction guidance prioritize meet deadline technical project ability use combination independent research testing escalation efficiently balance appropriate solution ability establish maintain effective working relationship positive manner given nature responsibility position person individual citizen united state permanent resident alien united state protected individual defined considered position preferred qualification identity management software grouper comanage midpoint knowledge critical security control knowledge authentication protocol active directory ldap kerberos saml desired knowledge asset management product prior operation higher education environment itil foundation certification physical condition typical office activity additional detail exercise discretion independent judgment key member information security team decision may affect integrity campus information asset position administers access university data asset error oversight mistake may significant impact university may encounter sensitive issue related cybersecurity posture university involves restricted confidential data personally identifiable data matter require extreme confidentiality requires deep knowledge combined demonstrated excellence taking ownership problem leading project transferring knowledge ever changing law policy must monitored ensure business practice procedure updated maintain compliance may supervise student employee extensive communication internal audience including faculty staff student campus technician external audience including uma system information technology support resource application specialist technical support security schedule position opportunity schedule defined university arrangement employee regularly performed location campus workspace portion week position fall within professional staff union subject term condition professional staff union collective bargaining agreement salary information level psu hiring range special instruction applicant submit resume cover letter contact information three professional reference application accepted position filled uma amherst committed policy equal opportunity without regard race color religion gender gender identity expression age sexual orientation national origin ancestry disability military status genetic information employment admission participation academic program activity service selection vendor provide service product university fulfill policy uma amherst committed program affirmative action eliminate mitigate artificial barrier increase opportunity recruitment advancement qualified minority woman person disability covered veteran policy uma amherst comply applicable federal state statute rule regulation concerning equal opportunity affirmative action advertised nov eastern standard time application close show le report
94,Sr. Business Data Analyst,analyst,senior business data analyst report sr manager sale analytics expected routinely provide insight business recommendation based analysis involving data market customer strategy performance individual expected develop accurate reporting tool support sale objective identify opportunity improvement sale operation process play role forecasting support adoption new crm system lead special project track sale performance deliver analysis needed ad hoc basis day onsite remote day mon fri day shift understanding medical device related industry dental knowledge plus pay accountability support operational matter affecting sale operation organization supporting field organization oversee sale data including driving enhancement data creating roadmap partnership enterprise application organization support annual planning territory management quota comp plan across sale organization drive creation enforcement business rule crm system build run variety sale report support field organization tableau bi optimize sale team adoption crm tool program practice support sale team member working team ensure open case administrative request resolved promptly closely marketing execute lead management function responsible building sale pipeline develop manage key performance metric measure aspect selling process working business function directly sr manager sale analytics plan execute sale advisory board annual management meeting act crucial conduit fp sale team order report month end result representative internal field based management provides support sale operation working directly regional manager assist standard daily management sale process analytics position may involve medium lifting exceed lb support tradeshows sale training special event knowledge skill least year previous operation finance sale analytics role bachelor degree required crm preferably dynamic working knowledge administration reporting dashboard functionality enterprise reporting tool obi tableau domo etc mobile application io android expert skill level microsoft excel access powerpoint software interface team maximize effectiveness various sale reporting tool database critical posse working knowledge intelligence microsoft dynamic strong analytical microsoft excel skill requested strong communication presentation skill desire learn new technology organized able effectively communicate team must able meet strict deadline working environment aleron company acara solution aleron shared resource broadleaf result lume strategy talentrise viaduct aleron strategic partner sdi equal employment opportunity affirmative action employer qualified applicant receive consideration employment without regard race color religion gender identity sexual orientation national origin genetic information sex age disability veteran status legally protected basis aleron company welcome encourage application diverse candidate including people disability accommodation available upon request applicant taking part aspect selection process applicant position must legally authorized united state position meet employment requirement individual opt stem authorization status show le report
95,Identity and Access Management (IAM) Analyst,analyst,role identity access management iam analyst location harrisburg pa duration long tern direct client seeking experienced motivated individual join team identity access management security analyst identity access management iam analyst responsible working business partner well external service partner deliver identity administration capability across ptc ideal candidate technology security administration across large organizational network cloud environment corporate system process superb organizational communication skill position responsible working business partner well external service partner support internal external audit regulatory compliance requirement iam candidate member system security iam team within information technology department involves participating performing varying level assigned unit increasing degree complexity primarily performed independence reviewed supervisor specialist attainment program goal completion project overall performance essential function responsibility part security team iam analyst support user provisioning auditing governance team member expected become familiar established policy procedure audit compliance requirement support maintain appropriate access application ensures system access maintained accordance ptc information security policy procedure support access management control activity throughout identity management lifecycle ensures access system provisioned applying concept least privilege segregation duty evaluates existing access ensure level remain commensurate employee job responsibility responsible evaluating access management system show continued improvement iam lifecycle process operation create modify user account security group access policy account assist access security review audit accordance regulatory audit compliance identify potential iam risk unique situation help mitigate potential threat create maintain documentation data flow diagram gather requirement needed assist ongoing review identity access management program policy process minimum year supporting security administration operation security architecture ideal candidate technology security administration across large organizational network cloud environment understanding iam concept attestation provisioning sso access control rbac segregation duty sod policy federation etc understanding single sso protocol adfs saml openid oauth knowledge local cloud hybrid directory service architecture working knowledge large organization operation strong analytical skill high attention detail accuracy job type contract pay per hour schedule hour shift ability harrisburg pa reliably commute planning relocate starting required location one location show le report
96,Sr. Security Analyst,analyst,security analyst location irving tx duration month job responsibility identify systemic procedural gap construct project proposal support iam solutioned policy security best practice level support identifying security risk monitor application health improve develop scalable integration maximize automation collaborate maintain platform version upgrade certification renewal patching operational incident partner help desk sustainable success identify prevent environmental finding strengthen interior perimeter supporting custom workflow rule form policy participating analyzing request adequately risk best practice define acceptable solution aligning business security requirement documenting process standard guideline knowledge based document developing monitoring key performance indicator metric qualification identity access management security certification bachelor degree equivalent computer science related field ping azure ad identity governance account management sailpoint key insight privileged access management rbac least privilege solution delinea cyberark working knowledge agile methodology java development scripting shell job type contract temporary pay per hour benefit dental insurance flexible schedule health insurance paid time tuition reimbursement vision insurance schedule hour shift day shift monday friday identity access management year preferred location remote show le report
97,Reporting Data Analyst,analyst,nyu langone health integrated academic medical center known excellence clinical care research education comprises location throughout new york area including five inpatient location child hospital three emergency room level trauma center also part nyu langone health laura isaac perlmutter cancer center national cancer institute designated comprehensive cancer center nyu grossman school medicine since trained thousand physician scientist helped shape course medical history nyu langone health equity diversity inclusion fundamental value strive place exceptionally talented faculty staff student identity thrive embrace diversity inclusion individual skill idea knowledge information go interact u linkedin glassdoor indeed facebook twitter youtube instagram position summary exciting opportunity join team reporting data analyst role successful candidate responsible supporting effort nyulh information technology towards meeting strategic vision truly digital fully integrated academic medical center position translate data request analytical solution contribute sound strategic planning goal setting effective performance nyulh leadership job responsibility assist processing triaging intake request dashboard report analytics data access submitted nyulh enterprise community requestors ensure request complete submission process adhered compile document business requirement technical specification dashboard mock ups design spec working business owner mcit staff provide project management support guidance department manager coordinate effort various mcit staff business owner dashboard project ensure consensus requirement help manage issue perform user testing data validation dashboard obtain business owner provide support manager director project team committee working departmental mcit initiative involving enterprise reporting perform analysis present recommendation requested nyulh leadership support key initiative ensure report meet quality standard appropriate presentation senior leadership hospital administration department manager various committee meeting participate governance metric preparing definition business owner presentation reporting metric subcommittee publishing metric business term nyulh business glossary ensure consistent reporting act resource dashboard user provide training manager utilization performance management reporting tool investigate data functionality issue needed minimum qualification qualify must required minimum two year relevant preferred qualification demonstrated knowledge financial concept statistical analysis software application healthcare epic plus must preferred focus study business administration computer science health care administration related field good business sense strong analytical skill advanced knowledge excel required sql data analysis business intelligence tool tableau preferred proficiency microsoft office suite project management working professional variety skill background excellent written oral communication skill qualified candidate must able effectively communicate level organization nyu langone health provides staff far place rather institution proud institution feel good devoting time talent nyu langone health equal opportunity affirmative action employer committed diversity inclusion aspect recruiting employment qualified individual encouraged apply receive consideration without regard race color gender gender identity expression sex sexual orientation transgender status gender dysphoria national origin age religion disability military veteran status marital parental status citizenship status genetic information factor lawfully used basis employment decision require application completed online wish view nyu langone health eeo policy please click please click view federal eeo law poster visit http information nyu langone health provides salary range comply new york city law salary transparency job advertisement salary range role annually actual salary depend variety factor including specialty education hospital need salary range contractual rate listed include differential pay form compensation benefit view pay transparency notice please click herestart job application click apply nowshow le report
98,"IT Program Analyst - Software Review, Licensing and Operations",analyst,department information mine consistently ranked among top engineering college united state rank number one best public school state best value college mine located heart golden colorado western suburb denver campus location offer ambiance close proximity denver metropolitan area offer abundance cultural event museum theater sporting venue arid climate average day sunshine per year make area ideal place live play seek individual value diverse inclusive community offering different perspective culture enrich educational opportunity program analyst part office cio within information technology solution position responsible promoting monitoring facilitating process review software application service mine serf primary staff member maintaining inventory working area role ensures staff know software application service available licensed job requires strong focus operation also ability enhance operational efficiency position also help ensure contract renewal extension replacement termination meet fiscal requirement budgetary timing contractual demand operational need description job responsibility software application service review process promote monitor facilitate process review software application service mine ensure request ushered process completed timeliest manner assist requestors gathering necessary information required complete review process check duplicate software provide alternative solution comparable product already approved available provide training campus group regarding role responsibility process create maintain inventory software application mine license inventory maintain comprehensive understanding software application server license mine ensure member know licensed used installed provide support license management license distribution needed operational efficiency facilitate manage change control board ccb determines whether implement proposed change system service facilitate manage root cause corrective action rcca procedure outage degraded performance incident identify develop way creating additional operational efficiency operational procurement maintain competency deep understanding procurement policy procedure purchase hardware software service necessary receive approve process invoice payment manage lead contract renewal extension replacement termination meet fiscal requirement budgetary timing contractual demand operational need manage escalation critical vendor relationship communicate stakeholder affected approaching contract date assist renewal establish maintain strong relationship procurement office identify execute value opportunity key vendor relationship provide appropriate support training internal staff manage individual vendor account pay range mine take consideration combination candidate education training well position scope complexity discretion latitude required role location external market internal value determining salary level potential new employee apply applicant asked complete online application personal information demographic information reference veteran status upload resume cover letter required please click apply reference contacted later selection process informed contact made please contact kathy white question opportunity minimum qualification substitution condition employment appeal right education bachelor degree college university computer science business finance equivalent advanced training year professional facilitating business governance process gathering information customer assessing need providing solution meet requirement managing catalog database asset knowledge skill ability excellent knowledge common productivity program word processing spreadsheet creation infographics tool outstanding interpersonal skill ability develop maintain cultivate relationship internal external customer ability manage confidentiality aspect ability dynamic environment navigating ambiguity building vision future enterprise need preferred qualification enterprise resource planning erp system itil certification supplemental information mine golden co mine consistently ranked among top engineering college united state rank number one best public school state best value college mine located heart golden colorado western suburb denver campus location offer ambiance close proximity denver metropolitan area offer abundance cultural event museum theater sporting venue sunny climate outstanding outdoor recreation opportunity make denver area ideal place live play seek individual value diverse inclusive community offering different perspective culture enrich educational equal opportunity colorado school mine committed equal opportunity person mine discriminate basis age sex gender including gender identity gender expression ancestry creed marital status race ethnicity religion national origin disability sexual orientation genetic information veteran status current military service mine retaliate community member filing complaint regarding implicating protected status mine commitment nondiscrimination affirmative action equal opportunity equal access reflected administration policy procedure program activity effort achieve diverse student body workforce policy procedure resource mine complies federal law colorado state law administrative regulation executive order legal requirement prevent discrimination including harassment retaliation within mine campus community address potential allegation inequity concern safety total reward mine proud provide exceptional benefit include pay health wellness balance offering portfolio benefit includes medical dental vision disability insurance flexible spending account life insurance retirement saving plan additionally mine employee eligible tuition benefit employee dependent generous paid holiday leaf discount program information visit mine benefit background investigation required yes show le report
