,0
116,"develop and manage key metrics (kpis) and executing on continuous improvements efforts
establish iam continuity strategy to support business continuity and disaster recovery
develop and publish iam policies, procedures, standards, and guidelines
support and drive all iam-related governance and audits initiatives including sod management, related audits, and handling of internal and external audit requests
drive and support team as they engage with lines of business and technology to ensure best practice or issues are identified, enhanced, or resolved."
117,"enforce the iam strategy across the organization
participate in regulatory and enterprise audits to validate and improve the iam program
engage with other key areas of cybersecurity to respond to any new vulnerabilities or findings that may cause impact ( soc, cloud security, data security, etc.)"
118,participate in strategic initiatives to position the organization for next level security response ( i.e.
119,"password less authentication, zero trust, identity-based analytics, etc.)"
120,"ensure the functionality of system meets requirements, and that sustainability can be demonstrated, additional deployments of connectors and system enhancements."
121,team building and structuring and finding the right hires and active projects around iam industry solutions (e.g.
122,"ad, ad azure, isam, okta, ping, adfs, sailpoint, rsa, cyberark, etc.)"
123,builds interdependent teams that collaborate across functional and operating groups to create the highest value for all stakeholders.
124,"attracts, retains, and enables the career development of top talent."
125,"improves team performance, recognizes and rewards performance, coaches employees, supports their development, and manages poor performance."
126,acts as a trusted advisor to senior leaders for making business decisions and implementing strategic initiatives.
127,develops an expert understanding of business/group challenges.
128,networks with industry contacts to gather competitive insights and best practices.
129,recommends measures to improve organizational effectiveness.
130,"contributes to strategic plans, technology roadmaps, and standards and promotes adherence to them."
131,"establishes deep relationships at all levels, to effectively collaborate in identifying new technological directions for the business strategy and to provide input into the roadmaps for these solutions."
132,acts as the prime subject matter expert for internal/external stakeholders.
133,"breaks down strategic problems, and analyses data and information to provide insights and recommendations."
134,solves complex system issues/failures and helps to determine root causes as well as designing resolutions.
135,"takes a leadership role in projects to implement new capabilities, significant upgrades, and product retirement."
136,works with vendors and architects to understand technology roadmaps for incorporation into security platform planning.
137,explores opportunities for innovation using new and existing security platforms.
138,"designs, develops, tests, implements & maintains information security platforms to meet requirements for security functionality, performance, scalability, and resiliency."
139,researches and tests new cybersecurity products and innovations to support tactical and strategic decision making.
140,"provides advice, counsel and support on information security platforms and services and recommends solutions."
141,develops and implements changes to streamline and integrate security processes and systems in the organization.
142,leads continuous improvement activities and root cause analysis with the goal of strengthening information security capabilities.
143,builds effective relationships with internal/external stakeholders.
144,troubleshoots complex issues with internal and external stakeholders as required.
145,"breaks down strategic problems, and analyses data and information to provide insights and recommendations."
146,"identifies opportunities to strengthen the information security capability at bmo, such as: sharing expertise to promote technical development, mentoring employees, building communities and professional networks across bmo."
147,"stays abreast of industry technical and business trends through participation in professional associations, practice communities & individual learning."
148,"ensures consistent, high-quality practices/work and the achievement of business results in alignment with business/group strategies and with productivity goals."
149,understands the scope of complexity that exists in the computing environment and the ways in which security platforms impact that environment.
150,communicates abstract concepts in simple terms.
151,fosters strong internal and external networks and works with and across multiple teams to achieve business objectives.
152,anticipates trends and responds by implementing appropriate changes.
153,broader work or accountabilities may be assigned as needed.
154,"what you will need:

qualifications
must have strong people- leadership experience with at least 5 years of experience in people-leadership roles and a strong executive presence to speak to ciso, and other tech and business executives
typically 9+ years of relevant experience and a degree in computer science, engineering, information systems, information security, or a related field of study or an equivalent combination of education and experience."
155,"strong expertise with influencing our technical experts and external auditors
proven track-record of identity system deployment experience, and must be able to understand business and technical requirements, (sailpoint and cyberark experience is a plus but not mandatory)
must have strong understanding the identity life cycle
strong ability to implement iam best practice control frameworks and overall understanding of cybersecurity best practices
strong understanding of directory topology, how access is granted by instructed data, group memberships and ability to drive/support role mining activities."
156,"expertise with people building and building trust, approachable, and understanding when to lean-in or when to work with other teams and depts
technical and system-level expertise in one or more information security solutions and/or extensive background in it design and engineering."
157,"knowledge of information security design and engineering concepts, practices, and technology obtained through formal training and work experience
knowledge of the technical/business environment and the corporate processes and procedures
seasoned expert with extensive industry knowledge."
158,technical leader viewed as a thought leader for innovation.
159,"verbal & written communication skills
analytical and problem-solving skills
influence skills
collaboration & team skills; with a focus on cross-group collaboration
able to manage ambiguity."
160,"data driven decision making
preferred
certifications preferred in a related field, with strong preference for information security certifications from a well-recognized institution (e.g."
161,"(isc)2, isaca, sans)."
162,**please note that the compensation information that follows is a good faith estimate for this position only and is provided pursuant to the colorado equal pay for equal work act and equal pay transparency rules and other compensation posting laws.
163,it is estimated based on what a successful candidate might be paid in certain company locations.
164,"**

compensation:

the salary for this position ranges between $167,600 - $216,700."
165,"this range is an estimate, based on potential employee qualifications, operational needs and other considerations permitted by law."
166,"the range may vary above and below the stated amounts, as permitted by colorado equal pay transparency rule 4.1.2."
167,"bonus eligibility:

this position is also typically eligible for an annual bonus based on the company bonus plan/individual performance and is at company discretion at a rate of 20%."
168,our commitment to inclusion & diversity means that we value differences.
169,we encourage the unique perspectives of persons and are dedicated to creating a respectful and inclusive work environment.
170,show less you lead the way.
171,we’ve got your back.
172,"with the right backing, people and businesses have the power to progress in incredible ways."
173,"when you join team amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other."
174,"here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally."
175,"at american express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success."
176,"together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day."
177,"and we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong."
178,join team amex and let's lead the way together.
179,"as part of our diverse tech team, you can architect, code and ship software that makes us an essential part of our customers’ digital lives."
180,"here, you can work alongside talented engineers in an open, supportive, inclusive environment where your voice is valued, and you make your own decisions on what tech to use to solve challenging problems."
181,amex offers a range of opportunities to work with the latest technologies and encourages you to back the broader engineering community through open source.
182,"and because we understand the importance of keeping your skills fresh and relevant, we give you dedicated time to invest in your professional development."
183,find your place in technology on #teamamex.
184,"job responsibilities:

manage american express regulatory engagements from preparedness to response and remediation for technology risk and information security programs, processes, and procedures."
185,"manage internal compliance audits and assessments relating to technology risk and information security programs, processes, and procedures."
186,participate with key financial sector and cybersecurity industry groups and collaborate with others within american express to share information.
187,monitor emerging information security developments and help assess the impacts and relevance to american express to stay ahead of new policies and regulations.
188,coordinate activities among various groups inside of american express involved with regulatory/compliance activities and external partnerships at varying levels with different focus areas (e.g.
189,"general counsel’s office, global regulatory compliance, government affairs, global security, etc.)."
190,"plan, direct, and coordinate projects in exam management, price waterhouse cooper, and the industry relations program from initiation through implementation."
191,"required skills/qualifications:

strong interpersonal skills and the ability to work effectively with diverse and distributed teams across the organization."
192,"demonstrated ability leading, mentoring, and providing feedback to people on performance and opportunities to strengthen programs."
193,strong written and oral communication skills including the ability to build c level presentations.
194,5+ years of previous it and business work experience including collaborating with team(s) in analysis and/or program management functions within cybersecurity domains.
195,demonstrated ability and expertise in understanding highly technical processes and procedures and explaining them to cross functional audiences.
196,proven decision-making and problem-solving capabilities with strong follow-up skills and attention to detail.
197,"ability to work in a fast-paced environment, be quickly able to adapt to a changing environment, and be able to effectively handle fast paced situations."
198,excellent time management skills and a proven ability to meet timelines.
199,ability to act as the delegate for our cyber crisis response preparedness incident response lead.
200,"req# 22031769

salary range: $170,000.00 to $255,000.00 annually + bonus + equity (if applicable) + benefits

the above represents the expected salary range for this job requisition."
201,"ultimately, in determining your pay, we'll consider your location, experience, and other job-related factors."
202,"american express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law."
203,"we back our colleagues with the support they need to thrive, professionally and personally."
204,"that's why we have amex flex, our enterprise working model that provides greater flexibility to colleagues while ensuring we preserve the important aspects of our unique in-person culture."
205,"depending on role and business needs, colleagues will either work onsite, in a hybrid model (combination of in-office and virtual days) or fully virtually."
206,us job seekers/employees - click here to view the “eeo is the law” poster and supplement and the pay transparency policy statement.
207,"if the links do not work, please copy and paste the following urls in a new browser window: https://www.dol.gov/agencies/ofccp/posters to access the three posters."
208,"apply now: click apply now

show less 
reportyou lead the way."
209,we’ve got your back.
210,"with the right backing, people and businesses have the power to progress in incredible ways."
211,"when you join team amex, you become part of a global and diverse community of colleagues with an unwavering commitment to back our customers, communities and each other."
212,"here, you’ll learn and grow as we help you create a career journey that’s unique and meaningful to you with benefits, programs, and flexibility that support you personally and professionally."
213,"at american express, you’ll be recognized for your contributions, leadership, and impact—every colleague has the opportunity to share in the company’s success."
214,"together, we’ll win as a team, striving to uphold our company values and powerful backing promise to provide the world’s best customer experience every day."
215,"and we’ll do it with the utmost integrity, and in an environment where everyone is seen, heard and feels like they belong."
216,join team amex and let’s lead the way together.
217,"as part of our diverse tech team, you can architect, code and ship software that makes us an essential part of our custome rs’ digital lives."
218,"here, you can work alongside talented engineers in an open, supportive, inclusive environment where your voice is valued, and you make your own decisions on what tech to use to solve challenging problems."
219,amex offers a range of opportunities to work with the latest technologies and encourages you to back the broader engineering community through open source.
220,"and because we understand the importance of keeping your skills fresh and relevant, we give you dedicated time to invest in your professional development."
221,find your place in technology on #teamamex.
222,"focus

would you like to join an identity and access management (iam) organization that is reimagining pam security?"
223,"at american express, we are bringing together ground breaking technologies, innovative solutions and industry leading pam expertise to secure our most critical it assets against an ever evolving threat landscape while providing friction-less services for a rich customer experience."
224,"as the director (it security-pam), you will lead a team of iam experts, define amex's pam strategy, own the design and delivery of secure, resilient & customer centric pam services on cloud & on-prem, and champion a culture of technological innovation & continuous service improvement."
225,"organizational context

as a leader in the technology risk & information security organization, you will work closely with the vice president of iam, the directors of iam and the lead iam technology strategist to refresh the pam business and technology strategy and will collaborate with many organizations, both internal and external, to bring the pam strategic vision to fruition




key responsibilities

hires, coaches, mentors, and develops team members

makes difficult, impactful business decisions in a timely manner

plays a key role in establishing forums and committees resulting in the delegation of work and assignments to collaborators/participants

engages in the investment decision process developing business arguments and cost benefit analyses for new information security solutions

defines and plans the information security investment portfolio; prioritize investments based on resource availability and/or changing business priorities

influences collaborators to achieve targeted levels of pam controls strength and compliance

provides strategic recommendations to leaders and key decision makers regarding it security, to help solve critical business issues with appropriate controls

adapts plans and programs to changes in the regulatory environment and threat landscape

builds controls and metrics to demonstrate control strength that result in satisfactory audits and regulatory exams

defines role descriptions, responsibilities and resource requirements for execution of programs and projects within the pam portfolio

identifies current and desired future state capabilities, incorporating industry leading technologies that enhance axp's ability to lead it security risk

drives the organization in the development and deployment of risk mitigation strategies and controls

education & experience

bachelor’s degree in related field required; advanced degree preferred, professional certification preferred (e.g."
226,"cisa, cissp, cism etc.)"
227,"possesses extensive relevant professional work experience, including implementing sophisticated business solutions, technologies process and automation tools; relevant background in information security, controls, compliance and/or regulatory experience

requires an ability to craft, implement and operate information security processes and methodologies in a manner that effectively supports business objectives

requires in-depth knowledge of multiple technological capabilities

requires proven management and/or leadership experience

impactful behaviors

share information security domain expertise and provide specialized insights to business partners and technology teams

networks and communicates with peers persuasively to gain partnership for projects and initiatives within own function or domain

adapt solutions to meet the broader needs of the organization, solving problems that span multiple areas

introduce new and impactful it sec solutions and/or technologies based on research, poc efforts and independent research

align longer term plans with team strategy for maximum return on investment

identify and understands information security trends and activities in the external market / industry and the impact on the organization."
228,"embody a “one team” approach, by developing a highly impactful team that empowers employees and furthers an inclusive culture

champions diversity of thoughts & ideas to enable success in achieving business objectives."
229,"diagnose the strengths and development opportunities within the team and optimally confronts and resolves team issues affecting individual and team performance

knowledge/skills

collaboration skills along with the ability to influence without authority

effective communication, influencing and interpersonal skills

knowledge of iam and pam security and controls

consistent track record of defining iam & it security strategies

understands the threat landscape and how they relate to compliance requirements with iam, pam or other information security policies, standards, and procedures

ability to identify, attract and retain top talent

requires an understanding of organization's risk tolerances regarding information security

be an ambassador of change and innovation

extensive experience in banking and payments industry knowledge

deep insights into technology & it security industry trends

req# 22031257

salary range: $170,000.00 to $255,000.00 annually + bonus + equity (if applicable) + benefits

the above represents the expected salary range for this job requisition."
230,"ultimately, in determining your pay, we'll consider your location, experience, and other job-related factors."
231,"american express is an equal opportunity employer and makes employment decisions without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran status, disability status, age, or any other status protected by law."
232,"we back our colleagues with the support they need to thrive, professionally and personally."
233,"that's why we have amex flex, our enterprise working model that provides greater flexibility to colleagues while ensuring we preserve the important aspects of our unique in-person culture."
234,"depending on role and business needs, colleagues will either work onsite, in a hybrid model (combination of in-office and virtual days) or fully virtually."
235,us job seekers/employees - click here to view the “eeo is the law” poster and supplement and the pay transparency policy statement.
236,"if the links do not work, please copy and paste the following urls in a new browser window: https://www.dol.gov/agencies/ofccp/posters to access the three posters."
237,"to apply to this job, click apply now

show less 
reportat american express, we know that with the right backing, people and businesses have the power to progress in incredible ways."
238,"whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way."
239,"when you join team amex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day."
240,"here, you’ll learn and grow as we champion your meaningful career journey with programs, benefits, and flexibility to back you personally and professionally."
241,every colleague share in the company’s success.
242,"together, we’ll win as a team, striving to uphold our company values and powerful backing promise to our customers, communities, and each other every day."
243,"and we’ll do it with integrity and in an environment where everyone is seen, heard and feels like they truly belong."
244,join #teamamex and let’s lead the way together.
245,enterprise data governance & platforms (edgp) is part of the larger enterprise digital and data solutions (edds) organization.
246,"edgp improves the customer experience and drives business growth through robust enterprise-wide data policies and governance and enabling a data-driven culture, while developing digital and data platforms that provide insightful customer relationships and allow users to leverage enterprise-wide data capabilities."
247,customer 360 is an axp-wide capability that provides the enterprise customer demographic data and data-graph unifying our customer’s relationships across all product and services globally.
248,"this is fundamentally reshaping our ecosystem and the way we engage with our customers by leveraging amex internal/external data assets, world-class matching algorithms and best in class global, flexible and re-usable platforms."
249,"we seek an experienced thought-leader and problem-solver to serve as director – c360, digital product management to help define and oversee the vision and strategic priorities to enable new products for amex and enhance the customer experience across channels to provide best experience every day to our customers

primary responsibilities include:

partner with various enterprise teams and strategy partners for implementation of demographic data and linkages via c360."
250,be a trusted partner and thought leader to drive the modernization of individual and legal entities and their digital experiences with amex.
251,"leading, mentoring and building a high performing and highly engaged team with diverse talent

identifying opportunities and driving product strategy, roadmap, and features."
252,"managing the product life cycle from strategic planning to tactical execution

prioritizing engineering work and balancing the requirements of customers and stakeholders."
253,enabling analytics-driven decision making to evolve products and usage.
254,"evangelizing the product both internally and externally and shepherding products through the development process, advocating to achieve the best outcomes."
255,"interacting with customers to identify needs, opportunities, and gaps, and solve problems."
256,brainstorming and negotiating effectively with various stakeholders to continuously define feature priority.
257,helping your team develop products by making difficult tradeoffs and removing roadblocks.
